brand,description,price,website,search_term,scrape_timestamp
TOTTUS,Papa Seca 400 g,S/ 5.65,tottus,PAPA SECA,2024-12-05 12:25:52.504541
COSTENO,Papa Seca Costeño 500 g,S/ 8.40,tottus,PAPA SECA,2024-12-05 12:25:52.504541
TESORO DEL CAMPO,Papa Seca 500 g,S/ 7.30,tottus,PAPA SECA,2024-12-05 12:25:52.504541
TOTTUS,Cashews Salados 80 g,S/ 8.90,tottus,PAPA SECA,2024-12-05 12:25:52.504541
VILLA NATURA,Almendras 80 g,S/ 7.90,tottus,PAPA SECA,2024-12-05 12:25:52.504541
KARINTO,Maní Engalletado Picante 200g,S/ 8,tottus,PAPA SECA,2024-12-05 12:25:52.504541
VILLA NATURA,Habas saladas 150 g,S/ 6.90,tottus,PAPA SECA,2024-12-05 12:25:52.504541
GRANUTS,Mezcla de arándanos maní y almendras 50 g,S/ 3.90,tottus,PAPA SECA,2024-12-05 12:25:52.504541
GRANUTS,Mezcla Party Mix de 50 g,S/ 3.90,tottus,PAPA SECA,2024-12-05 12:25:52.504541
GRANUTS,Mezcla de nueces 40 g,S/ 3.90,tottus,PAPA SECA,2024-12-05 12:25:52.504541
VILLA NATURA,Pistacho Salado 80 g,S/ 9.90,tottus,PAPA SECA,2024-12-05 12:25:52.504541
