brand,description,price,website,search_term,scrape_timestamp
SUIZA,JAMONADA DE POLLO PQTE X 100GR,S/ 2.80,tottus,JAMONADA,2024-12-05 11:35:04.918793
OTTO KUNZ,JAMONADA DE POLLO X 200G,S/ 7.50,tottus,JAMONADA,2024-12-05 11:35:04.918793
REDONDOS,Jamonada de Pollo 85 g,S/ 1.80,tottus,JAMONADA,2024-12-05 11:35:04.918793
SUIZA,Jamón Especial de la Salchichería de 200 g,S/ 6.20,tottus,JAMONADA,2024-12-05 11:35:04.918793
TOTTUS,JAMONADA DE POLLO X 200G,S/ 4,tottus,JAMONADA,2024-12-05 11:35:04.918793
,Jamonada de pavita,S/ 2.50,tottus,JAMONADA,2024-12-05 11:35:04.918793
SUIZA,JAMONADA SANDWICH X 180 GR,S/ 4.80,tottus,JAMONADA,2024-12-05 11:35:04.918793
SUIZA,JAMONADA DE POLLO SALCHICHERIA X 200 GR,S/ 5.20,tottus,JAMONADA,2024-12-05 11:35:04.918793
SALCHICHERIA ALEMANA,Jamonada Polaca 200 g,S/ 6.50,tottus,JAMONADA,2024-12-05 11:35:04.918793
TOTTUS,Jamonada Especial 200 g,S/ 4.50,tottus,JAMONADA,2024-12-05 11:35:04.918793
CASA EUROPA,Jamón Polaco 200 g,S/ 8.90,tottus,JAMONADA,2024-12-05 11:35:04.918793
BRAEDT,PACK JAMONADA Y QUESO X 180 GR,S/ 7.90,tottus,JAMONADA,2024-12-05 11:35:04.918793
SUIZA,Jamónada especial de 100 g,S/ 3.20,tottus,JAMONADA,2024-12-05 11:35:04.918793
BRAEDT,Jamonada Lonchera 100 g,S/ 2.90,tottus,JAMONADA,2024-12-05 11:35:04.918793
BRAEDT,Jamonada Especial 100 g,S/ 2.90,tottus,JAMONADA,2024-12-05 11:35:04.918793
