brand,description,price,website,search_term,scrape_timestamp
BRAEDT,QUESO EDAM X 440GR,S/ 24.50,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
TOTTUS,QUESO EDAM LIGHT 180G,S/ 10.90,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
LAIVE,Queso Edam,S/ 11.90,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
SUIZA,Pack Queso Edam + Jamón Americano 300 g,S/ 11.90,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
BRAEDT,Queso Edam 180 g,S/ 11.95,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
TOTTUS,QUESO EDAM 180G,S/ 10.90,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
GLORIA,QUESO EDAM 250G TAJADA,S/ 15.50,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
BONLE,Queso Edam 185 g,S/ 11.90,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
TOTTUS,Mix Quesos Pack Edam Gouda Emmental 300 g,S/ 46.90,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
GLORIA,BONLE QUESO EDAM 250G TAJADA,S/ 14.70,tottus,QUESO EDAM,2024-12-05 11:49:35.575819
