description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Lechuga Americana x unid,S/ 1.99,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Americana,1.99
Lechuga de Seda Hidropónica de Invernadero Ecologic x unid,S/ 1.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga de Seda Hidropónica de Invernadero Ecologic,1.8
Lechuga Romana Hidropónica de Invernadero Ecologic x unid,S/ 2.90,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Romana Hidropónica de Invernadero Ecologic,2.9
Lechuga Crespa Hidropónica de Invernadero Ecologic x unid,S/ 1.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Crespa Hidropónica de Invernadero Ecologic,1.8
Lechuga Hidropónica Verde Puro x un.,S/ 7.90,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Hidropónica Verde Puro .,7.9
Lechuga Romana Entera Verde Puro 200g,S/ 4.30,wong,LECHUGA,2024-12-04 19:43:36.737854,200.0,g,Lechuga Romana Entera Verde Puro,4.3
Lechuga de Seda Hidropónica Manantiales x unid,S/ 3.70,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga de Seda Hidropónica Manantiales,3.7
Lechuga Roja Hidropónica de Invernadero Ecologic x unid,S/ 2.70,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Roja Hidropónica de Invernadero Ecologic,2.7
Lechuga Hoja de Roble Verde Hidropónica Ecologic x unid,S/ 2.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Hoja de Roble Verde Hidropónica Ecologic,2.8
Lechuga de Seda Hidropónica Frescas x un,S/ 4.00,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga de Seda Hidropónica Frescas,4.0
Lechuga Butterhead Viva x unid,S/ 8.50,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Butterhead Viva,8.5
Lechuga Americana Ecologic x un,S/ 3.49,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Americana Ecologic,3.49
Lechuga de Seda Frescas 130g,S/ 5.80,wong,LECHUGA,2024-12-04 19:43:36.737854,130.0,g,Lechuga de Seda Frescas,5.8
Lechuga Kale La Huerta Wong x unid,S/ 5.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Kale La Huerta Wong,5.8
Lechuga Romana Viva 300g,S/ 4.80,wong,LECHUGA,2024-12-04 19:43:36.737854,300.0,g,Lechuga Romana Viva,4.8
Lechuga Crespa Entera Verde Puro 300g,S/ 4.30,wong,LECHUGA,2024-12-04 19:43:36.737854,300.0,g,Lechuga Crespa Entera Verde Puro,4.3
Lechuga Crespa Hidropónica Manantiales x unid,S/ 3.40,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Crespa Hidropónica Manantiales,3.4
Lechuga Morada Delisalad 200g,S/ 3.70,wong,LECHUGA,2024-12-04 19:43:36.737854,200.0,g,Lechuga Morada Delisalad,3.7
Lechuga Criolla Delisalad 200g,S/ 3.50,wong,LECHUGA,2024-12-04 19:43:36.737854,200.0,g,Lechuga Criolla Delisalad,3.5
Lechuga Hoja de Roble Roja Hidropónica de Invernadero Ecologic x unid,S/ 2.90,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,un,Lechuga Hoja de Roble Roja Hidropónica de Invernadero Ecologic,2.9
Mix de Lechuga Crespa Ecologic x 2 Unid,S/ 2.80,wong,LECHUGA,2024-12-04 19:43:36.737854,2.0,un,Mix de Lechuga Crespa Ecologic x,2.8
Mix de Lechugas BB Verde Puro Bolsa 100 g,S/ 7.30,wong,LECHUGA,2024-12-04 19:43:36.737854,100.0,g,Mix de Lechugas BB Verde Puro Bolsa,7.3
Mix de Lechuga Cuisine & Co 200g,S/ 5.40,wong,LECHUGA,2024-12-04 19:43:36.737854,200.0,g,Mix de Lechuga Cuisine & Co,5.4
Kale Verde Puro 100g,S/ 7.90,wong,LECHUGA,2024-12-04 19:43:36.737854,100.0,g,Kale Verde Puro,7.9
Mix de Lechugas Baby Verde Puro 150g,S/ 9.40,wong,LECHUGA,2024-12-04 19:43:36.737854,150.0,g,Mix de Lechugas Baby Verde Puro,9.4
Mix Gourmet Ecologic 250g,S/ 6.80,wong,LECHUGA,2024-12-04 19:43:36.737854,1.0,g,Miourmet Ecologic,6.8
Ensalada Mix de Lechugas Mattson 130g,S/ 11.50,wong,LECHUGA,2024-12-04 19:43:36.737854,130.0,g,Ensalada Mix de Lechugas Mattson,11.5
Ensalada Personal Verde Puro 140g,S/ 7.60,wong,LECHUGA,2024-12-04 19:43:36.737854,140.0,g,Ensalada Personal Verde Puro,7.6
Mix Plus Ecologic 250 g,S/ 5.80,wong,LECHUGA,2024-12-04 19:43:36.737854,250.0,g,Mix Plus Ecologic,5.8
Mix de Lechuga Crespa Ecologic 250g,S/ 6.10,wong,LECHUGA,2024-12-04 19:43:36.737854,250.0,g,Mix de Lechuga Crespa Ecologic,6.1
