description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Agua de Mesa Sin Gas San Luis Caja 20L,S/ 24.50,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,20.0,l,Agua de Mesa Sin Gas San Luis Caja,24.5
Agua de Mesa Sin Gas San Luis Bidón 7L,S/ 7.50,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,7.0,l,Agua de Mesa Sin Gas San Luis Bidón,7.5
Agua de Mesa Con Gas San Luis Botella 2.5L,S/ 3.00,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,2.5,l,Agua de Mesa Con Gas San Luis Botella,3.0
Agua de Mesa Sin Gas Benedictino Botella 3L,S/ 2.70,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,3.0,l,Agua de Mesa Sin Gas Benedictino Botella,2.7
Agua de Mesa Sin Gas San Luis Botella 2.5L,S/ 3.00,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,2.5,l,Agua de Mesa Sin Gas San Luis Botella,3.0
Agua de Mesa Sin Gas San Luis Botella 1L,S/ 2.80,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,1.0,l,Agua de Mesa Sin Gas San Luis Botella,2.8
Agua de Mesa Sin Gas San Luis Botella 750ml,S/ 1.70,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,750.0,ml,Agua de Mesa Sin Gas San Luis Botella,1.7
Agua de Mesa Cuisine & Co Botella Sport 1L,S/ 1.80,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,1.0,l,Agua de Mesa Cuisine & Co Botella Sport,1.8
Agua de Mesa San Carlos Botella 500ml,S/ 0.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,500.0,ml,Agua de Mesa San Carlos Botella,0.9
Pack x15 Agua de Mesa Sin Gas San Luis Botella 750ml,S/ 17.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,750.0,ml,Pack x15 Agua de Mesa Sin Gas San Luis Botella,17.9
Sixpack Agua de Mesa Sin Gas San Luis Botella 2.5L,S/ 14.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,2.5,l,Sixpack Agua de Mesa Sin Gas San Luis Botella,14.9
Twopack Agua de Mesa Sin Gas San Luis Caja 20L,S/ 45.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,20.0,l,Twopack Agua de Mesa Sin Gas San Luis Caja,45.9
Twopack Agua de Mesa Sin Gas San Luis Caja 20L,S/ 51.00,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,20.0,l,Twopack Agua de Mesa Sin Gas San Luis Caja,51.0
Sixpack Agua de Mesa Cuisine & Co Botella 2.5L,S/ 10.90,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,2.5,l,Sixpack Agua de Mesa Cuisine & Co Botella,10.9
Sixpack Agua de Mesa Cuisine & Co Botella 625ml,S/ 5.50,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,625.0,ml,Sixpack Agua de Mesa Cuisine & Co Botella,5.5
Sixpack Agua de Mesa Sin Gas San Luis Botella 1L,S/ 11.00,wong,AGUA DE MESA SIN GAS,2024-12-04 20:50:08.995736,1.0,l,Sixpack Agua de Mesa Sin Gas San Luis Botella,11.0
