brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
VILLA NATURA,Pasas morenas 150 g,S/ 5.90,tottus,PASAS,2024-12-07 13:37:56.893485,150.0,g,Pasas morenas,5.9
VALLEALTO,Pasas Morenas BL 150 g,S/ 5.10,tottus,PASAS,2024-12-07 13:37:56.893485,150.0,g,Pasas Morenas BL,5.1
TOTTUS,Granola con Pasas y Almendras 350 g,S/ 9.90,tottus,PASAS,2024-12-07 13:37:56.893485,350.0,g,Granola con Pasas y Almendras,9.9
UNION,Granola con Pasas y Almendras Unión 400 g,S/ 17,tottus,PASAS,2024-12-07 13:37:56.893485,400.0,g,Granola con Pasas y Almendras Unión,17.0
HEINZ,Colado de Ciruela De Pasas 113 g,S/ 4.70,tottus,PASAS,2024-12-07 13:37:56.893485,113.0,g,Colado de Ciruela De Pasas,4.7
LA IBERICA,BARRA MILKY PECANAS Y PASAS X 50 GR X 6,S/ 46.90,tottus,PASAS,2024-12-07 13:37:56.893485,50.0,g,BARRA MILKY PECANAS Y PASAS X R X 6,46.9
QFOODS,Barras de Quinua Pasas y Chocolate 180 gr,S/ 21,tottus,PASAS,2024-12-07 13:37:56.893485,180.0,g,Barras de Quinua Pasas y Chocolate r,21.0
FITNESS,Cereal en hojuelas con pasas y coco de 330 g,S/ 19.70,tottus,PASAS,2024-12-07 13:37:56.893485,330.0,g,Cereal en hojuelas con pasas y coco de,19.7
TOTTUS,Mani Con Pasas 100gr,S/ 4,tottus,PASAS,2024-12-07 13:37:56.893485,100.0,g,Mani Con Pasas r,4.0
TOTTUS,Mani Con Pasas 150gr,S/ 4.50,tottus,PASAS,2024-12-07 13:37:56.893485,150.0,g,Mani Con Pasas r,4.5
VILLA NATURA,MANI CON PASAS X 150GR,S/ 5.90,tottus,PASAS,2024-12-07 13:37:56.893485,150.0,g,MANI CON PASAS X R,5.9
DONOFRIO,Panetón Pasas Frutas Caja 880 gr,S/ 23.92,tottus,PASAS,2024-12-07 13:37:56.893485,880.0,g,Panetón Pasas Frutas Caja r,23.92
DONOFRIO,Panetón Pasas Frutas Bolsa 880 gr,S/ 21.52,tottus,PASAS,2024-12-07 13:37:56.893485,880.0,g,Panetón Pasas Frutas Bolsa r,21.52
TOTTUS,Maiz Pop Corn 500 g,S/ 4.64,tottus,PASAS,2024-12-07 13:37:56.893485,500.0,g,Maiz Pop Corn,4.64
COSTA,Panetón Frutas Confitadas Pasas Bolsa 800 g,S/ 16.72,tottus,PASAS,2024-12-07 13:37:56.893485,800.0,g,Panetón Frutas Confitadas Pasas Bolsa,16.72
GLORIA,Yogurt Actibio Higo Guindon Pasas 1.7Kg,S/ 10.50,tottus,PASAS,2024-12-07 13:37:56.893485,1.7,kg,Yogurt Actibio Higo Guindon Pasas,10.5
GLORIA,Yogurt Actibio Higo Guindon Pasas 950 g,S/ 6.70,tottus,PASAS,2024-12-07 13:37:56.893485,950.0,g,Yogurt Actibio Higo Guindon Pasas,6.7
CROSOY,Granola con avena ajonjolí pasas coco y almendras crujiente 380 g,S/ 13.50,tottus,PASAS,2024-12-07 13:37:56.893485,380.0,g,Granola con avena ajonjolí pasas coco y almendras crujiente,13.5
COSTA,Panetón Frutas Confitadas Pasas Caja 800 g,S/ 18.32,tottus,PASAS,2024-12-07 13:37:56.893485,800.0,g,Panetón Frutas Confitadas Pasas Caja,18.32
D'ONOFRIO,Panetón Donofrio Pasas Frutas Caja 1.3 Kg,S/ 39.90,tottus,PASAS,2024-12-07 13:37:56.893485,1.3,kg,Panetón Donofrio Pasas Frutas Caja,39.9
LAIVE,Yogurt Actibio Higo Guindón Pasas 180 g,S/ 1.90,tottus,PASAS,2024-12-07 13:37:56.893485,180.0,g,Yogurt Actibio Higo Guindón Pasas,1.9
OSTER,OLLA ARROCERA 2.2L GRIS CN SOFRITO Y VAP,S/ 199,tottus,PASAS,2024-12-07 13:37:56.893485,2.2,l,OLLA ARROCERA  GRIS CN SOFRITO Y VAP,199.0
