brand,description,price,website,search_term,scrape_timestamp
P.A.N.,Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Vega,Trigo mote VEGA Bolsa 400g,S/ 2.60,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Blanca Flor,Harina BLANCA FLOR Preparada Paquete 1Kg,S/ 8.00,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Benoti,Harina BENOTI Preparada Paquete 1Kg,S/ 6.00,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Benoti,Harina BENOTI Sin Preparar Paquete 1Kg,S/ 5.30,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Molitalia,Harina MOLITALIA Preparada Bolsa 1kg,S/ 6.90,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Grano De Oro,Harina GRANO DE ORO Sin Preparar Paquete 180gr,S/ 1.30,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Molitalia,Harina MOLITALIA sin Preparar Bolsa 1kg,S/ 6.20,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Benoti,Harina BENOTI Sin Prepar Paquete 180 gr,S/ 1.20,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Grano De Oro,Harina GRANO DE ORO Sin Preparar Paquete 1kg,S/ 5.80,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Timonel,Trigo mote TIMONEL Bolsa 400g,S/ 2.90,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Grano De Oro,Harina GRANO DE ORO Preparada Paquete 1kg,S/ 6.30,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Universal,Chuño UNIVERSAL Bolsa 180gr,S/ 3.30,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Duryea,Mizena DURYEA Caja 500gr,S/ 8.90 10%,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Cusqueña,Cerveza CUSQUEÑA Trigo Pack 6 Botella 310ml,S/ 22.50 2%,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Cusqueña,Cerveza CUSQUEÑA Trigo Pack 6 Lata 355ml,S/ 22.90,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Universal,Mazamorra Morada UNIVERSAL Bolsa 150gr,S/ 2.50,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Universal,Pudin UNIVERSAL sabor a Chocolate Bolsa 100gr,S/ 2.50,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Molitalia,Sémola de Trigo MOLITALIA Bolsa 200gr,S/ 1.70,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
Universal,Pudin UNIVERSAL sabor a Vainilla Bolsa 100gr,S/ 2.50,vega,HARINA DE TRIGO PREPARADA,2024-12-07 15:11:06.000325
