brand,description,price,website,search_term,scrape_timestamp
Sol Del Cuzco,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90g Display 12u,S/ 28.80,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
Sol Del Cuzco,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90g,S/ 2.60,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
Bonle,Leche Chocolatada BONLÉ UHT Tetrapack 180ml Paquete 6un,S/ 9.00,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
Vega,Chocolate para Taza VEGA Tableta 90g Display 12u,S/ 18.00,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
Timonel,Chocolate para Taza TIMONEL Bolsa 90g,S/ 1.70,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
Timonel,Chocolate para Taza TIMONEL Tableta 90g Display 12u,S/ 18.00,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
La Preferida,Bebida Chocolatada LA PREFERIDA Bolsa 800ml,S/ 3.50,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
Gloria,Leche Chocolatada GLORIA UHT Caja 1L,S/ 6.00,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
Vigor,Leche Chocolatada UHT VIGOR Bolsa 800ml,S/ 4.30,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
Gloria,Leche Chocolatada GLORIA Fresca Bolsa 900ml,S/ 5.50,vega,PRODUCTO ACHOCOLATADO,2024-12-07 16:54:43.918803
