brand,description,price,website,search_term,scrape_timestamp
Universal,Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Universal,Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Universal,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Universal,Gelatina UNIVERSAL Sabor a Cereza Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Universal,Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,S/ 3.50 8%,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Fanta,Gaseosa FANTA Naranja 500ml Paquete 12u,S/ 26.40,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Inca Kola,Gaseosa INCA KOLA Botella 3L Paquete 4u,S/ 39.80 11%,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Coca Cola,Gaseosa COCA COLA Botella 3L Paquete 4u,,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Big Cola,Gaseosa BIG COLA Botella 1.035L x 6u,S/ 19.20,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Guarana,Gaseosa GUARANÁ Botella 3.010L Pack 4u,S/ 26.20 13%,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Oro,Gaseosa BIG COLA Botella 3.03L Paquete 6un,S/ 41.40,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Oro,Gaseosa ORO Botella 3.03L x 6u,,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Sprite,Gaseosa SPRITE Botella 3L,S/ 6.90,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Universal,Flan UNIVERSAL Sabor a Vainilla Bolsa 150gr,S/ 3.30,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Fanta,Gaseosa FANTA Botella 3L,S/ 6.90,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Bonle,Mezcla Láctea BONLE Familiar Caja 480g Paquete 6u,S/ 23.40,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Universal,Pudin UNIVERSAL sabor a Chocolate Bolsa 100gr,S/ 2.50,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
Fanta,Gaseosa FANTA KOLA INGLESA Botella 3L,S/ 6.90,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
San Jorge,Galleta SAN JORGE Soda Familiar 75gr,S/ 1.60,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
San Jorge,Galleta SAN JORGE Vainilla Familiar Paquete 120gr,S/ 1.70,vega,HELADO FAMILIAR,2024-12-07 16:35:00.954652
