description,price,website,search_term,scrape_timestamp
Melón Coquito Wong x kg,S/ 2.89 x kg,wong,MELÓN,2024-12-07 17:34:59.112760
Melón en Trozos Natifrut 280g,S/ 7.49,wong,MELÓN,2024-12-07 17:34:59.112760
Sandía Wong x kg,S/ 1.99 x kg,wong,MELÓN,2024-12-07 17:34:59.112760
Pepino Melón x kg,S/ 5.99 x kg,wong,MELÓN,2024-12-07 17:34:59.112760
"Fruta Deshidratada Manzana, Fresa y Melón Natifrut x kg",S/ 279.00 x kg,wong,MELÓN,2024-12-07 17:34:59.112760
Melón Deshidratado Natifrut x kg,S/ 188.00 x kg,wong,MELÓN,2024-12-07 17:34:59.112760
Sandía Amarilla x kg,S/ 4.49 x kg,wong,MELÓN,2024-12-07 17:34:59.112760
Gorro Protector Facial Infantil Melón,S/ 49.90,wong,MELÓN,2024-12-07 17:34:59.112760
Arnés Caminador 2 en 1 Maternelle Melón,S/ 119.90,wong,MELÓN,2024-12-07 17:34:59.112760
Layconsa Papel Crepé Melón 50 x 70 cm,S/ 1.50,wong,MELÓN,2024-12-07 17:34:59.112760
Agenda Arti Creativo Murano Diario Melón,S/ 17.90,wong,MELÓN,2024-12-07 17:34:59.112760
Origens Comida para Gatos Filete de Atún con Melón Lata 85 g,S/ 7.80,wong,MELÓN,2024-12-07 17:34:59.112760
Gorro Protector Facial para Bebé Melón,S/ 49.90,wong,MELÓN,2024-12-07 17:34:59.112760
