unit,description,price,website,search_term,scrape_timestamp
Vaso 146g,Yogurt GLORIA Battimix Vainilla con Arroz Cruj...,S/ 3.10 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Tableta 90g,Chocolate para Taza SOL DEL CUSCO Canela y Cla...,S/ 2.70 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Galleta VICTORIA Tentación Sabor de Chocolate ...,S/ 4.50 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Lata 380g,Fortificante NESQUIK Sabor a Chocolate Lata 38...,S/ 12.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Galletas CHOCO ¡BUM! Bañadas con Sabor a Choco...,S/ 4.80 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Leche sin Lactosa LAIVE Sabor a Chocolate Caja...,S/ 9.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Vaso 146g,Yogurt Battimix GLORIA Fresa con Bolitas de Ch...,S/ 3.10 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Wafer Cuadrado NIK Relleno con Crema Sabor a C...,S/ 4.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 380g,Cereal ANGEL Capas de trigo con chocolate Bols...,S/ 11.60 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Caja 9un,Chocolate BESOS DE MOZA Clásico Caja 9un x 24g,S/ 10.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 740g,Cereal ÁNGEL Copix Chocolate Doypack 740g,S/ 21.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 8un,Galletas Sandwich de Chocolate RELLENITAS con ...,S/ 4.69 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Galletas COSTA con Chips de Chocolate Bolsa 34...,S/ 4.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Doypack 470g,Fortificante NESQUIK Chocolate Doypack 470g,S/ 15.50 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Tableta 90g,Chocolate para Taza SOL DEL CUSCO Tableta 90g,S/ 2.70 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Galletas Choco Donuts COSTA Sabor a Chocolate ...,S/ 4.19 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Galletas CHOMP Sabor a Chocolate Paquete 6un,S/ 5.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Pote 900ml,Helado D'ONOFRIO Peziduri Chocolate Cremoso Po...,S/ 11.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 80g,Chocolate para Taza SOL DE CUSCO Pasta Pura Ta...,S/ 13.70 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Galletas con Quinua y Chispas de Chocolate INC...,S/ 9 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Envoltura 50g,Chocolate de Leche en Barra LA IBÉRICA MILKY E...,S/ 6.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Botella 320ml,Batido Protéico GLORIA Pro Chocolate Botella 3...,S/ 4.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 192g,Galletas COSTA Gretel Sabor a Chocolate Paquet...,S/ 4.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bandeja 450g,Keke de Chocolate LA FLORENCIA 1un,S/ 10.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 840g,Cereal ÁNGEL Chocolate Bolsa 840g,S/ 19.80 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Tableta 90g,Chocolate para Taza BELL'S Tableta 90g,S/ 1.80 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 110g,Pudin ROYAL Sabor a Chocolate Bolsa 110g,S/ 4 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 180g,Avena de Chocolate 3 OSITOS Bolsa 180g,S/ 5.40 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Tetrapack 946ml,Leche sin Lactosa LAIVE Sabor a Chocolate Tetr...,S/ 6.40 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 90g,Chocolate para taza WINTER'S Bolsa 90Gr,S/ 5.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Tableta 90g,Chocolate para Taza Instántaneo SOL DEL CUSCO ...,S/ 4.60 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 200g,Chocolate LA IBÉRICA Mini Milky Bolsa 200g,S/ 25.30 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Tableta 90g,Chocolate para Taza SOL DEL CUSCO 42% Cacao Ta...,S/ 7 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Caja 10un,Barra de Chocolate PRINCESA Caja 10un,S/ 18.50 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 28g,Chocolate NESTLÉ Sublime Clásico Paquete 28g,S/ 2 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 100g,Pudín UNIVERSAL Sabor a Chocolate Bolsa 100g,S/ 3.40 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Barra 50g,Chocolate Milky LA IBÉRICA Sin Azúcar Barra 50...,S/ 7.30 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Vaso 110g,Alimento Lácteo LAIVE Yopi Mix Sabor a Vainill...,S/ 2.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
,Galletas sin Gluten Lúcuma y Chips Chocolate +...,S/ 14.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 900g,Panetón con Trozos de Chocolate POESSIA Bolsa ...,S/ 25.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Caja 400g,Granola BELL'S Chocolate Caja 400g,S/ 10.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Doypack 136g,Chocolate NESTLÉ Princesa Clásico Doypack 136g,S/ 15.50 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Paquete 6un,Galletas COSTA Frac Sabor a Chocolate Paquete ...,S/ 4.50 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Caja 69g,Chocolate COSTA Vizzio Caja 69g,S/ 5 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Caja 350g,Cereal 2 CERRITOS Cubierto de chocolate Caja 3...,S/ 20.50 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Caja 16un,Chocolate NESTLÉ Sublime Bombones Especial Caj...,S/ 17 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Bolsa 200g,Chips Sabor a Chocolate WINTERS Bolsa 200g,S/ 9.90 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
Envase 500g,Cobertura de Chocolate Bitter NESTLÉ Tableta 5...,S/ 17.20 un,plaza_vea,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-07 14:20:19.626891
