description,price,website,search_term,scrape_timestamp
Galleta Oreo Regular 36g,S/ 1.60,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Rellenitas GN Chocolate 36 g,S/ 1.50,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Rellenitas GN Coco 36 g,S/ 1.50,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Rellenitas GN Fresa 36 g,S/ 1.50,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Rellenitas Gn Limón 36 g,S/ 1.50,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Rellenitas Chocolate Taco 90 gr,S/ 2.10,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Rellenitas Coco Taco 90 gr,S/ 2.20,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Rellenitas Fresa Taco 90 gr,S/ 2.10,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galletas Travesura 50 gr,S/ 2.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galletas Morochas Taco 75 gr,S/ 3.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galletas Pícaras Clásicas 40 gr,S/ 1.50,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Noel Navidad x 150 Gr,S/ 6.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Pícaras Chips 42 g,S/ 1.50,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Morochas Clásicas 30 gr,S/ 1.70,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Pícaras Extrema 40 gr,S/ 1.60,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Casino Chocolate 43 g,S/ 1.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Casino Fresa 43 g,S/ 1.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Casino Menta 43 g,S/ 1.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Black Out 60 gr,S/ 1.70,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Cream Cracker 73.5 gr,S/ 2.10,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Toallitas Húmedas Zaidman 72 und,S/ 7.40,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Casino Vainilla 43 gr,S/ 1.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galletas Surtiditas Arcor 400 gr,S/ 10.60,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Pack (6 Galletas Cracket Snacks Jamón 47 gr),S/ 26.30,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Noel Navidad Maraca Lata x 80 Gr,S/ 21.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galletas Colombina Moments Chocolate 135 gr,S/ 9.20,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Pícaras Clásicas XL 60 gr,S/ 1.80,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Club Social Regular 26 g,S/ 1.50,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Ritz Taco Caja 201 gr,S/ 6.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galletas Quinoa +NUTRI Co 30 gr,S/ 3.00,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Tentación Sabor Chocolate 45 gr,S/ 1.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Tentación Sabor Naranja 42 gr,S/ 1.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta Picaras Corazón Fresa 40 gr,S/ 1.50,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
GALLETA GLACITAS CHOCOLATE X 32 GR,S/ 2.00,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
GALLETA GLACITAS FRESA X 32 GR,S/ 2.00,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
GALLETA GLACITAS TOFFEE X 32 GR,S/ 2.00,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galletas De Maíz Salmas granos y Semillas 126 gr,S/ 12.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Costeño Galleta de Arroz Clásicas 150 gr,S/ 8.90,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galletas Quinoa Blueberry +NUTRI Co 30 gr,S/ 3.00,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
Galleta de Arroz Costeño Clásica 50 gr,S/ 2.20,tambo,GALLETAS RELLENAS,2024-12-05 13:10:38.704556
