description,price,website,search_term,scrape_timestamp
Chuleta Punta de Lomo x kg,S/ 14.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Lomo de Cerdo con Piel Porcionado x kg,S/ 22.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Pierna de Cerdo con Piel Porcionada x kg,S/ 18.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta Parrillera de Cerdo con Piel x kg,S/ 22.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Lomo con Piel de Cerdo x kg,S/ 22.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Brazuelo de Cerdo Con Piel Metro x kg,S/ 21.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta Ahumada La Segoviana Paquete 300 g,S/ 15.90,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Pierna con Piel de Cerdo x kg,S/ 21.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Lomo Duroc Redondos x kg,S/ 31.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Brazuelo con Piel de Cerdo x kg,S/ 21.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta Parrillera de Cerdo x kg,S/ 22.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Hombro de Cerdo Duroc Redondos x kg,S/ 32.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Cerdo Ahumada Kassler Zimmermann x kg,S/ 41.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Lomo de Cerdo con Piel Del Sur x kg,S/ 29.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta Ahumada Kassler Cerdeña x kg,S/ 48.50 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Brazuelo de Cerdo con Piel Nacional del Sur Metro x kg,S/ 25.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta Parrillera Sur de Cerdo con Piel x kg,S/ 33.50 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
Chuleta de Pierna de Cerdo con Piel Nacional del Sur Metro x kg,S/ 27.90 x kg,metro,CHULETA DE CERDO,2024-12-04 20:54:11.594627
