description,price,website,search_term,scrape_timestamp
Mantequilla con Sal Gloria 390g,S/ 17.50,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Laive 180g,S/ 10.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Gloria 180g,S/ 9.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla Gloria Sin Sal 180g,S/ 9.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla Plusa Con Sal Barra 200 g,S/ 12.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Gloria 180g,S/ 10.50,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Laive 180g,S/ 13.99,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Gloria 90g,S/ 6.40,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní Untable Pote 410 g,S/ 25.00,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Danlac Frasco 180g,S/ 16.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní Cuisine&Co Frasco 410 g,S/ 21.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla Sin Sal Laive 180g,S/ 10.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Laive 100g,S/ 7.60,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní Spread 410g,S/ 21.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní Sin Azúcar Santa Manía Frasco 230 g,S/ 19.50,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Gloria 50g,S/ 3.70,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Frutos Secos Almendras Crunchy The Butter Factory Frasco 200 g,S/ 32.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla con Sal Président Barra 200 gr,S/ 20.70,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Frutos Secos Almendras The Butter Factory Frasco 200 g,S/ 32.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Frutos Secos Choco Almendras The Butter Factory Frasco 200 g,S/ 34.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní con Cacao Spread Chocomaní 410g,S/ 21.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní Peter Pan Creamy Frasco 16.3 Onzas,S/ 29.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní Pote 454 g,S/ 27.20,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla sin Sal Président Barra 200g,S/ 20.70,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní Crujiente Essential Everyday 454g,S/ 27.20,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Maní Peter Pan Crunchy Frasco 16.3 Onzas,S/ 29.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla de Almendras Sin Azúcar Santa Manía Frasco 185 g,S/ 35.50,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla Asturiana 125g,S/ 16.70,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
Mantequilla La Chuguranita Barra 150 g,S/ 14.90,metro,MANTEQUILLA ENVASADA,2024-12-04 21:24:27.280736
