description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Queso Paria Cuisine & Co 400g,S/ 29.90,wong,QUESO PARIA,2024-12-06 13:43:18.726122,400.0,g,Queso Paria Cuisine & Co,29.9
Queso Paria en Tajadas Cuisine & Co 180g,S/ 14.50,wong,QUESO PARIA,2024-12-06 13:43:18.726122,180.0,g,Queso Paria en Tajadas Cuisine & Co,14.5
Queso Paria Arequipa x kg,S/ 54.00 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria Arequipa,54.0
Queso Paria La Candelaria x kg,S/ 72.80 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria La Candelaria,72.8
Queso Paria de Vaca Duman x Kg,S/ 53.76 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria de Vaca Duman,53.76
Queso Paria Bonlé x kg,S/ 55.00 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria Bonlé,55.0
Queso Paria Orégano Lait's x kg,S/ 63.90 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria Orégano Lait's,63.9
Queso Paria con Oregano El Artesano de Antaño x kg,S/ 62.90 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria con Oregano El Artesano de Antaño,62.9
Queso Paria en Tajadas Gloria 180g,S/ 13.20,wong,QUESO PARIA,2024-12-06 13:43:18.726122,180.0,g,Queso Paria en Tajadas Gloria,13.2
Queso Paria Tipo Puno Valle Lindo x kg,S/ 63.90 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria Tipo Puno Valle Lindo,63.9
Queso Paria Lait's x kg,S/ 63.90 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria Lait's,63.9
Queso Paria Mistiano x kg,S/ 63.90 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria Mistiano,63.9
Queso Paria El Artesano de Antaño x kg,S/ 62.90 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria El Artesano de Antaño,62.9
Queso Paria La Matilde Tajadas 500g,S/ 30.90,wong,QUESO PARIA,2024-12-06 13:43:18.726122,500.0,g,Queso Paria La Matilde Tajadas,30.9
Queso Paria La Matilde Tajadas 200g,S/ 13.90,wong,QUESO PARIA,2024-12-06 13:43:18.726122,200.0,g,Queso Paria La Matilde Tajadas,13.9
Queso Paria La Matilde x kg,S/ 66.00 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria La Matilde,66.0
Queso Paria De Origen Cuña 300g,S/ 20.10,wong,QUESO PARIA,2024-12-06 13:43:18.726122,300.0,g,Queso Paria De Origen Cuña,20.1
Queso Paria con Orégano La Compania Delicatessen x kg,S/ 66.90 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria con Orégano La Compania Delicatessen,66.9
Queso Paria de Puno Bellido x kg,S/ 72.00 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria de Puno Bellido,72.0
Queso Paria De Origen Tajadas 180g,S/ 16.10,wong,QUESO PARIA,2024-12-06 13:43:18.726122,180.0,g,Queso Paria De Origen Tajadas,16.1
Queso Paria La Compania Delicatessen x kg,S/ 66.90 x kg,wong,QUESO PARIA,2024-12-06 13:43:18.726122,1.0,kg,Queso Paria La Compania Delicatessen,66.9
Queso Paria De Origen Tajadas 300g,S/ 25.70,wong,QUESO PARIA,2024-12-06 13:43:18.726122,300.0,g,Queso Paria De Origen Tajadas,25.7
Pastel de Choclo con Queso Paria Joopas 8 Porciones,S/ 62.00,wong,QUESO PARIA,2024-12-06 13:43:18.726122,8.0,un,Pastel de Choclo con Queso Paria Joopas,62.0
