description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pecanas Peladas VILLA NATURA Bolsa 100g,VILLA NATURA,S/ 14.50,vivanda,PECANAS,2024-12-07 14:27:56.177822,100.0,g,Pecanas Peladas VILLA NATURA Bolsa,14.5
Pecanas Peladas BELL'S Táper 100g,BELL'S,S/ 14.00,vivanda,PECANAS,2024-12-07 14:27:56.177822,100.0,g,Pecanas Peladas BELL'S Táper,14.0
Pecana Pelada VALLEALTO Bolsa 90g,VALLEALTO,S/ 13.40,vivanda,PECANAS,2024-12-07 14:27:56.177822,90.0,g,Pecana Pelada VALLEALTO Bolsa,13.4
Pecanas Peladas VALLE ALTO Bolsa 135g,VALLEALTO,S/ 16.50,vivanda,PECANAS,2024-12-07 14:27:56.177822,135.0,g,Pecanas Peladas VALLE ALTO Bolsa,16.5
Pecana Pelada VILLA NATURA Bolsa 60g,VILLA NATURA,S/ 7.90,vivanda,PECANAS,2024-12-07 14:27:56.177822,60.0,g,Pecana Pelada VILLA NATURA Bolsa,7.9
Pecanas Peladas VILLA NATURA Bolsa 180g,VILLA NATURA,S/ 25.10,vivanda,PECANAS,2024-12-07 14:27:56.177822,180.0,g,Pecanas Peladas VILLA NATURA Bolsa,25.1
Cereal CROSOY Granola manzana pecana y canela Bolsa 380Gr,CROSOY,S/ 14.20,vivanda,PECANAS,2024-12-07 14:27:56.177822,380.0,g,Cereal CROSOY Granola manzana pecana y canela Bolsa r,14.2
Galletas con Pecanas ANA AVELLANA Pote 320g,ANA AVELLANA,S/ 24.90,vivanda,PECANAS,2024-12-07 14:27:56.177822,320.0,g,Galletas con Pecanas ANA AVELLANA Pote,24.9
Bolitas de Cereal TRUBALLS Pecanas y Naranja Doypack 90g,TRUBALLS,S/ 9.60,vivanda,PECANAS,2024-12-07 14:27:56.177822,90.0,g,Bolitas de Cereal TRUBALLS Pecanas y Naranja Doypack,9.6
Chocolate ORQUIDEA Con pecanas Envoltura 90g,ORQUIDEA,S/ 17.50,vivanda,PECANAS,2024-12-07 14:27:56.177822,90.0,g,Chocolate ORQUIDEA Con pecanas Envoltura,17.5
Chocotejas de Pecana HELENA Caja 180g,HELENA,S/ 33.50,vivanda,PECANAS,2024-12-07 14:27:56.177822,180.0,g,Chocotejas de Pecana HELENA Caja,33.5
Queso Crema Gourmet DELICE con Pecanas Paquete 150g,DELICE,S/ 16.90,vivanda,PECANAS,2024-12-07 14:27:56.177822,150.0,g,Queso Crema Gourmet DELICE con Pecanas Paquete,16.9
Chocolate Milky LA IBÉRICA Pecanas y Pasas Caja 100g,LA IBERICA,S/ 20.20,vivanda,PECANAS,2024-12-07 14:27:56.177822,100.0,g,Chocolate Milky LA IBÉRICA Pecanas y Pasas Caja,20.2
Piqueo VILLA NATURA Pasas Almendras Pecanas Nueces y Anacardos Táper 250g,VILLA NATURA,S/ 19.00,vivanda,PECANAS,2024-12-07 14:27:56.177822,250.0,g,Piqueo VILLA NATURA Pasas Almendras Pecanas Nueces y Anacardos Táper,19.0
Piqueo BELL'S Pecanas Peladas Bolsa 80g,BELL'S,S/ 12.10,vivanda,PECANAS,2024-12-07 14:27:56.177822,80.0,g,Piqueo BELL'S Pecanas Peladas Bolsa,12.1
Granola WASI ORGANICS Pecanas Caja 300g,WASI,S/ 20.00,vivanda,PECANAS,2024-12-07 14:27:56.177822,300.0,g,Granola WASI ORGANICS Pecanas Caja,20.0
Chocolate en Barra LA IBÉRICA Milky Pecanas y Pasas Paquete 50g,LA IBERICA,S/ 8.50,vivanda,PECANAS,2024-12-07 14:27:56.177822,50.0,g,Chocolate en Barra LA IBÉRICA Milky Pecanas y Pasas Paquete,8.5
Bombones HELENA Peccanroll Bitter con Pecanas Caja 100g,HELENA,S/ 17.50,vivanda,PECANAS,2024-12-07 14:27:56.177822,100.0,g,Bombones HELENA Peccanroll Bitter con Pecanas Caja,17.5
Piqueos VILLA NATURA Pecanas Peladas Pote 100g,VILLA NATURA,S/ 14.50,vivanda,PECANAS,2024-12-07 14:27:56.177822,100.0,g,Piqueos VILLA NATURA Pecanas Peladas Pote,14.5
Tableta de Chocolate MILKY con Pecanas Paquete 100g,LA IBERICA,S/ 20.20,vivanda,PECANAS,2024-12-07 14:27:56.177822,100.0,g,Tableta de Chocolate MILKY con Pecanas Paquete,20.2
