description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pastel de Jamón OTTO KUNZ Paquete 150g,OTTO KUNZ,S/ 6.80,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,150.0,g,Pastel de Jamón OTTO KUNZ Paquete,6.8
Gomas Dulces TROLLI SOUR GLOWWORMS sabores Surtidos Bolsa 100g,TROLLI,S/ 7.20,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,100.0,g,Gomas Dulces TROLLI SOUR GLOWWORMS sabores Surtidos Bolsa,7.2
Gomas Dulces TROLLI CLASIC BEARS sabores Surtidos Clásicos Bolsa 100g,TROLLI,S/ 7.20,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,100.0,g,Gomas Dulces TROLLI CLASIC BEARS sabores Surtidos Clásicos Bolsa,7.2
Chifles Dulces BELL'S Bolsa 220g,BELL'S,S/ 7.50,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,220.0,g,Chifles Dulces BELL'S Bolsa,7.5
Gomas Dulces TROLLI NEON SQUIGGIES sabores Surtidos Bolsa 100g,TROLLI,S/ 7.20,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,100.0,g,Gomas Dulces TROLLI NEON SQUIGGIES sabores Surtidos Bolsa,7.2
Chifles Dulces ARTICHAY Sabor a Salsa Acevichada Bolsa 210g,ARTICHAY,S/ 16.50,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,210.0,g,Chifles Dulces ARTICHAY Sabor a Salsa Acevichada Bolsa,16.5
Marshmallow FINI Pipoca Sabor a Palomitas Dulces Bolsa 250g,FINI,S/ 12.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,250.0,g,Marshmallow FINI Pipoca Sabor a Palomitas Dulces Bolsa,12.9
Gomas dulces TROLLI GUMMI PIZZA Sabores surtidos Caja 17Gr,TROLLI,S/ 1.80,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,17.0,g,Gomas dulces TROLLI GUMMI PIZZA Sabores surtidos Caja r,1.8
Gomas Dulces AMBROSOLI FRUGELÉ Sabor Limón Naranja Piña Bolsa 430g,AMBROSOLI,S/ 14.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,430.0,g,Gomas Dulces AMBROSOLI FRUGELÉ Sabor Limón Naranja Piña Bolsa,14.9
Infusiones DULCES SUEÑOS Relajante nocturno Caja 20Un,DULCESUENOS,S/ 5.70,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,20.0,un,Infusiones DULCES SUEÑOS Relajante nocturno Caja,5.7
Chifles Dulces VILLA NATURA Bolsa 150g,VILLA NATURA,S/ 5.00,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,150.0,g,Chifles Dulces VILLA NATURA Bolsa,5.0
Velas Premium de Cumpleaños Rayadas Pastel MARSHALL & MASON x6un,MARSHALL & MASON,S/ 9.95,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,6.0,un,Velas Premium de Cumpleaños Rayadas Pastel MARSHALL & MASON x,9.95
Gomas dulces ARCOR MOGUL Sabores frutados Bolsa 35Gr,ARCOR,S/ 1.80,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,35.0,g,Gomas dulces ARCOR MOGUL Sabores frutados Bolsa r,1.8
Resaltadores CLASS&WORK JP9913AG Pastel Caja 2un,CLASS & WORK,S/ 5.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,2.0,un,Resaltadores CLASS&WORK JP9913AG Pastel Caja,5.9
Chifles Dulces ARTICHAY Sabor Cabonossi Bolsa 210g,ARTICHAY,S/ 16.50,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,210.0,g,Chifles Dulces ARTICHAY Sabor Cabonossi Bolsa,16.5
Gomas Dulces TROLLI Octopus Bolsa 100g,TROLLI,S/ 7.20,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,100.0,g,Gomas Dulces TROLLI Octopus Bolsa,7.2
Marcador ARTESCO Dual Brush Pastel Blíster 6un,ARTESCO,S/ 11.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,6.0,un,Marcador ARTESCO Dual Brush Pastel Blíster,11.9
Set de Tápers VIVA HOME Tapa Pastel 3un,VIVA HOME,S/ 10.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,3.0,un,Set de Tápers VIVA HOME Tapa Pastel,10.9
Hojuelas de Plátano Frito BELL'S Dulces Bolsa 125g,BELL'S,S/ 4.70,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,125.0,g,Hojuelas de Plátano Frito BELL'S Dulces Bolsa,4.7
Pumones ARTESCO Glitter Pastel Caja 6un,ARTESCO,S/ 13.20,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,6.0,un,Pumones ARTESCO Glitter Pastel Caja,13.2
Gomas Dulces 2 CERRITOS Sabor Fresa Naranja Limón y Piña Bolsa 125g,NURIA,S/ 10.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,125.0,g,Gomas Dulces 2 CERRITOS Sabor Fresa Naranja Limón y Piña Bolsa,10.9
Set de Témperas LAYCONSA Puppy Pastel Paquete 6un,LAYCONSA,S/ 7.60,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,6.0,un,Set de Témperas LAYCONSA Puppy Pastel Paquete,7.6
Papel Higiénico SUAVE Premium Paquete 12un,SUAVE,S/ 18.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,12.0,un,Papel Higiénico SUAVE Premium Paquete,18.9
Papel Toalla BOREAL Megarollo Paquete 4un,BOREAL,S/ 9.70,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,4.0,un,Papel Toalla BOREAL Megarollo Paquete,9.7
Papel Toalla BOREAL Megarollo Paquete 2un,BOREAL,S/ 5.00,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,2.0,un,Papel Toalla BOREAL Megarollo Paquete,5.0
Papel Higiénico SUAVE Esencias Elegance Paquete 8un,SUAVE,S/ 27.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,8.0,un,Papel Higiénico SUAVE Esencias Elegance Paquete,27.9
Papel Toalla NOVA Clásico Mega Rollo Paquete 2un,NOVA,S/ 7.20,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,2.0,un,Papel Toalla NOVA Clásico Mega Rollo Paquete,7.2
Papel Toalla SCOTT Multiusos 2 en 1 Paquete 2un,SUAVE,S/ 7.00,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,2.0,un,Papel Toalla SCOTT Multiusos 2 en 1 Paquete,7.0
Papel Higiénico SUAVE Cuidado Completo Doble Hoja Paquete 24un,SUAVE,S/ 26.70,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,24.0,un,Papel Higiénico SUAVE Cuidado Completo Doble Hoja Paquete,26.7
Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete 4un,SCOTT,S/ 12.40,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,4.0,un,Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete,12.4
Papel Higiénico ELITE Ultra Doble Hoja Paquete 12un,ELITE,S/ 29.30,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,12.0,un,Papel Higiénico ELITE Ultra Doble Hoja Paquete,29.3
Papel Higiénico SUAVE Esencias Elegance Paquete 32un,SUAVE,S/ 36.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,32.0,un,Papel Higiénico SUAVE Esencias Elegance Paquete,36.9
Pasta Dental COLGATE Triple Acción Tubo 75ml Paquete 3un,COLGATE,S/ 16.80,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,75.0,ml,Pasta Dental COLGATE Triple Acción Tubo  Paquete,16.8
Papel Higiénico HIGIENOL Doble Hoja Paquete 12un,HIGIENOL,S/ 22.80,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,12.0,un,Papel Higiénico HIGIENOL Doble Hoja Paquete,22.8
Pasta Dental Colgate Luminous White 2x75ml,COLGATE,S/ 20.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,75.0,ml,Pasta Dental Colgate Luminous White 2x,20.9
Pasta Dental COLGATE Triple Acción 3x100ml,COLGATE,S/ 19.40,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,100.0,ml,Pasta Dental COLGATE Triple Acción 3x,19.4
Papel Higiénico ELITE Premium Triple Hoja Paquete 24un,ELITE,S/ 36.50,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,24.0,un,Papel Higiénico ELITE Premium Triple Hoja Paquete,36.5
Papel Toalla NOVA Ultra Absorbente Paquete 2un,NOVA,S/ 7.50,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,2.0,un,Papel Toalla NOVA Ultra Absorbente Paquete,7.5
Papel Toalla NOVA Ultra Absorbente Paquete 6un,NOVA,S/ 19.90,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,6.0,un,Papel Toalla NOVA Ultra Absorbente Paquete,19.9
Pasta Dental COLGATE Total 12 Clean Mint Tubo 75ml Paquete 3un,COLGATE,S/ 27.10,vivanda,PASTELES DULCES,2024-12-07 13:54:33.733755,75.0,ml,Pasta Dental COLGATE Total 12 Clean Mint Tubo  Paquete,27.1
