brand,description,price,website,search_term,scrape_timestamp
Costeño,Maíz Pop Corn COSTEÑO Bolsa 500g,S/ 4.90,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
VALLENORTE,Maíz Pop Corn VALLENORTE Bolsa 500gr,S/ 5.30,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
P.A.N.,Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
Cheetos,Piqueos CHEETOS Queso Picante Bolsa 180g,S/ 4.20,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
Pringles,Papas PRINGLES Queso Lata 109g,S/ 8.90,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
Ritz,Galleta RITZ Sabor a Queso 30g Paquete 6u,S/ 5.20,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
Chizito,CHIZITOS Fiesta Queso Bolsa 190 gr,S/ 6.50,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
Doritos,Tortillas de Maíz DORITOS Queso Atrevido Bolsa 90g,S/ 4.20,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
Cheetos,CHEETOS Sabot a Queso Horneados Bolsa 90 gr,S/ 4.20,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
Villa Natura,Piqueo VILLA NATURA Cocktail de Nueces Bolsa 250g,S/ 14.00,vega,BOCADITOS DE MAÍZ Y QUESO,2024-12-04 14:41:23.013816
