brand,description,price,website,search_term,scrape_timestamp
P.A.N.,Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Jorge,Galletas Navideñas COLOMBINA Navidad Bolsa 150g,S/ 4.20 7%,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Fernando,Vale de Pavo SAN FERNANDO 7kg,S/ 105.90,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Mateo,Agua SAN MATEO Sin Gas Botella 600ml,S/ 22.50,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Carlos,Agua SAN CARLOS Sin Gas Botella 500ml Paquete 20u,,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Jorge,Galletas SAN JORGE Coconut Paquete 55g x 2u,S/ 2.00,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Mateo,Agua SAN MATEO Sin Gas Paquete 6 Botella 2.5L,S/ 17.70 8%,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Luis,Agua sin Gas SAN LUIS Sabor a Piña y Kion Botella 625ml Paquete 6un,,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Mateo,Agua SAN MATEO Con Gas Paquete 15u Botella 600ml,,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Jorge,Galleta SAN JORGE Soda Paquete 7un,S/ 4.80,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Carlos,Agua SAN CARLOS Sin Gas Caja 20 Lt,S/ 19.00,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
Nan,Fórmula Láctea Liquida NAN 2 Bebés Lata 390g,S/ 6.10,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Jorge,Galleta SAN JORGE Soda Gourmet 250gr,S/ 3.70,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Jorge,Galletas SAN JORGE Vainilla Gourmet Paquete 250g,S/ 3.80,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Jorge,Galleta SAN JORGE Vainilla Familiar Paquete 120gr,S/ 1.70,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
Super Can,Comida para Perro SUPERCAN Adultos Carne y Cereal Razas Medianas y Grandes Bolsa 25kg,S/ 152.50,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Jorge,Galleta SAN JORGE Soda Familiar 75gr,S/ 1.60,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Mateo,Agua SAN MATEO sin Gas Bidón 7L,S/ 8.90,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
Super Can,Comida para Perros SUPERCAN Cachorros Carne y Leche Bolsa 25kg,S/ 152.50,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
San Jorge,Fideo SAN JORGE Spaghetti Bolsa 500gr,S/ 3.00,vega,PAN DE YEMA,2024-12-04 13:09:08.715940
