brand,description,price,website,search_term,scrape_timestamp
Gran Chalan,Arroz Extra GRAN CHALAN Bolsa 5 kg,S/ 24.90 4%,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Faraon,Arroz Extra FARAON Bolsa 5Kg,S/ 26.20 4%,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Costeño,Arroz Extra COSTEÑO Bolsa 750g,S/ 4.70,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Faraon,Arroz Extra FARAON Bolsa 750g,S/ 5.00,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Costeño,Arroz Superior COSTEÑO Bolsa 750g,S/ 4.20,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Vega,Arroz Superior VEGA Bolsa 750g,S/ 3.70,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Costeño,Arroz Superior COSTEÑO Bolsa 5Kg,S/ 24.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Veguita,Arroz Extra VEGA Pacasmayo Saco 10Kg,S/ 45.00,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Timonel,Arroz Superior TIMONEL Bolsa 1Kg,S/ 4.80,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Vega,Arroz Economico VEGA Bolsa 5Kg,S/ 19.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Vega,Arroz Superior VEGA Bolsa 5Kg,S/ 22.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Vega,Arroz VEGA Familiar 10 Kg,S/ 36.00,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Vega,Arroz Extra VEGA Bolsa 5Kg,S/ 23.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Vega,Arroz Extra VEGA Bolsa 750g,S/ 3.90,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Paisana,Arroz Extra PAISANA Bolsa 5Kg,S/ 25.60,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Timonel,Arroz Superior TIMONEL Bolsa 5Kg,S/ 24.00,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Gran Chalan,Arroz Superior GRAN CHALAN Bolsa 5 kg,S/ 24.90,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Timonel,Arroz Extra TIMONEL Importado Bolsa 5Kg,S/ 27.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Faraon,Arroz Superior FARAON Bolsa 5Kg,S/ 26.50,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
Timonel,Arroz Extra TIMONEL Importado Bolsa 750g,S/ 4.60,vega,ARROZ ENVASADO,2024-12-04 12:58:48.470046
