description,brand,price,website,search_term,scrape_timestamp
Maíz Pop Corn TESORO VERDE Bolsa 500g,TESORO VERDE,S/ 4.20,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Tapenade de Pura Alcachofa CASA VERDE Frasco 190g,CASA VERDE,S/ 8.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Salsa Roja CASA VERDE Doypack 160g,CASA VERDE,S/ 4.20,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Ají Pollero CASA VERDE Doypack 75g,CASA VERDE,S/ 4.70,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Habas Saladas BELL'S Táper 140g,BELL'S,S/ 4.50,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Salsa Dijon Vinaigrette HUELLA VERDE Pote 350ml,HUELLA VERDE,S/ 16.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Dip con Palta CASA VERDE Frasco 225g,CASA VERDE,S/ 9.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Salsa Huancaina CASA VERDE Doypack 75g,CASA VERDE,S/ 5.70,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Crema De Rocoto CASA VERDE Doypack 75g,CASA VERDE,S/ 4.60,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Lentejita Bebé TESORO VERDE Bolsa 500g,TESORO VERDE,S/ 4.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Dip Ají Amarillo CASA VERDE Frasco 190g,CASA VERDE,S/ 9.70,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Granola HUELLA VERDE Original Doypack 400g,HUELLA VERDE,S/ 25.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Granola HUELLA VERDE Lúcuma Doypack 400g,HUELLA VERDE,S/ 25.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Bowl de Quinua con Salsa de Alcachofa y Pimiento CASA VERDE 225g,CASA VERDE,S/ 7.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Frijol Panamito TESORO VERDE Bolsa 500g,TESORO VERDE,S/ 4.80,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Dip de Alcachofa a la Parmesana CASA VERDE Frasco 200g,CASA VERDE,S/ 10.70,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Salsa Honey Mustard HUELLA VERDE Pote 350ml,HUELLA VERDE,S/ 16.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Espárragos Verdes BELL'S FRESCOS Bandeja 300g,BELL'S FRESCOS,S/ 8.00,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Manzana Verde Importada,VIVANDA,S/ 8.30,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Uva Verde sin Pepa x Kg,VIVANDA,S/ 14.99,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Sacagrasa MR. MÚSCULO Verde Repuesto Doypack 500ml,MR MUSCULO,S/ 7.70,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Pimiento Verde,VIVANDA,S/ 7.99,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Arveja Verde Partida INCATRAIL Bolsa 500g,INCATRAIL,S/ 4.29,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Salsa Roja Lista CASA VERDE Frasco 350g,CASAVERDE,S/ 10.80,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Aceituna Verde sin Pepa HUERTO MEJÍA Paquete 230g,HUERTO MEJÍA,S/ 11.50,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Arveja Verde COSTEÑO Bolsa 500g,COSTENO,S/ 4.40,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Quinua Bicolor CASA VERDE Listas para Comer Doypack 240g,CASAVERDE,S/ 7.50,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Mermelada CASA VERDE Arándano y Mango Frasco 210g,CASAVERDE,S/ 9.00,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Bebida de Arándanos L'ONDA con Té Verde Botella 1L,L ONDA,S/ 8.99,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Aceitunas Verdes Deshuesadas en Conserva OLIVOS DEL SUR Doypack 300g,OLIVOS DEL SUR,S/ 15.40,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Infusiones WAWASANA Te verde piña Caja 50Un,WAWASANA,S/ 16.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Salsa Verde Peruana CASA VERDE Frasco 330g,CASAVERDE,S/ 13.20,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Arveja Verde VALLENORTE Bolsa 500g,VALLENORTE,S/ 4.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Esponja Fibra Verde BOREAL Bolsa 3un,BOREAL,S/ 4.50,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Dip de Hummus con Ajo CASA VERDE Frasco 240g,CASAVERDE,S/ 11.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Té Verde STASH TEA Frambuesa y Granada Caja 18un,STASH,S/ 32.50,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Té Verde de Menta y Limón SAINT GOTTARD Matcha Caja 20un,SAINT GOTTARD,S/ 10.00,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Aceituna Verde con Castaña HUERTO MEJÍA Paquete 220g,HUERTO MEJÍA,S/ 12.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Sacagrasa MR. MÚSCULO Verde Gatillo 500ml,MR MUSCULO,S/ 18.70,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Esponja SCOTCH-BRITE Fibra Verde Abrasiva Paquete 3un,SCOTCH-BRITE,S/ 11.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Aceitunas Verdes EL OLIVAR con Rocoto Bolsa 240g,EL OLIVAR,S/ 9.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Aceitunas Verdes en Conserva VALDEPORRES Rellenas de Anchoas Frasco 370g,VALDEPORRES,S/ 13.49,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Conserva VALLE FERTIL Espárragos verdes Frasco 210Gr,VALLE FERTIL,S/ 10.20,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Té Verde MC COLIN'S Caja 25un,MC COLIN'S,S/ 12.80,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Aceitunas Verdes EL OLIVAR con Castaña Bolsa 240g,EL OLIVAR,S/ 9.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Aceitunas Verdes en Conserva VALDEPORRES Manzanilla con Hueso Frasco 370g,VALDEPORRES,S/ 8.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Aceitunas Verdes en Conserva OLIVALLE Deshuesadas Doypack 160g,OLIVALLE,S/ 4.20,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Salsa Verde Peruana CASA VERDE Frasco 190g,CASAVERDE,S/ 7.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Judías Verdes Planas EL CORTE INGLÉS Frasco 660g,EL CORTE INGLÉS,S/ 10.50,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
Pisco Mosto Verde OCUCAJE Italia Botella 700ml,OCUCAJE,S/ 89.90,vivanda,HABA VERDE,2024-12-06 11:56:30.133868
