description,brand,price,website,search_term,scrape_timestamp
Mango Edward,VIVANDA,S/ 2.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Mango Haden,VIVANDA,S/ 2.80,vivanda,MANGO,2024-12-06 11:49:01.276663
Mango Kent,VIVANDA,S/ 2.49,vivanda,MANGO,2024-12-06 11:49:01.276663
Mango Picado SOLEI Bandeja 300g,SOLEI,S/ 9.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Mango en Trozos Congelado FEST Paquete 500g,FEST,S/ 8.70,vivanda,MANGO,2024-12-06 11:49:01.276663
Yogurt Batido GLORIA Griego Sabor Mango Vaso 120g,GLORIA,S/ 2.20,vivanda,MANGO,2024-12-06 11:49:01.276663
Yogurt Vegano VAKIMU Mango Pasión Pote 500g,VAKIMU,S/ 12.40,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida FRUGOS Mango y Fresa Caja 1L,FRUGOS,S/ 4.50,vivanda,MANGO,2024-12-06 11:49:01.276663
Yogurt Griego Mango con Fresa VAKIMU YOG Pote 1Kg,VAKIMU,S/ 16.80,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida FRUGOS Sabor a Mango Caja 970ml,FRUGOS,S/ 3.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Shampoo HERBAL ESSENCES Aloe & Mango Frasco 400ml,HERBAL ESSENCES,S/ 34.40,vivanda,MANGO,2024-12-06 11:49:01.276663
Mermelada CASA VERDE Arándano y Mango Frasco 210g,CASAVERDE,S/ 9.00,vivanda,MANGO,2024-12-06 11:49:01.276663
"Mix Fresa, Piña y Mango Congelado EL FRUTERO Bolsa 1kg",EL FRUTERO,S/ 16.99,vivanda,MANGO,2024-12-06 11:49:01.276663
Yogurt Batido GLORIA Griego Sabor Mango Bolsa 800g,GLORIA,S/ 7.70,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida GLORIA Mango Caja 1L,GLORIA,S/ 4.40,vivanda,MANGO,2024-12-06 11:49:01.276663
Agua Gasificada LACROIX Mango Lata 355ml,LACROIX,S/ 4.80,vivanda,MANGO,2024-12-06 11:49:01.276663
Pack Bebida FRUGOS Mango y Fresa Caja 1L + Focaccia de Aceituna Refrigerada LA FLORENCIA 1un,FRUGOS,S/ 12.60,vivanda,MANGO,2024-12-06 11:49:01.276663
Pack Bebida FRUGOS Mango Caja 235ml Paquete 6un + Galletas Saladas RITZ Bolsa 20g Paquete 6un,FRUGOS,S/ 11.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida de Mango WATT'S Caja 946ml,WATT'S,S/ 4.50,vivanda,MANGO,2024-12-06 11:49:01.276663
Escobilla de Baño BOREAL Mango de Madera Paquete 1un,BOREAL,S/ 12.10,vivanda,MANGO,2024-12-06 11:49:01.276663
Set de Cubiertos VIVA HOME Mango de Plástico 16pzas,VIVA HOME,S/ 18.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida MOGU MOGU Mango y Coco Botella 1L,MOGU MOGU,S/ 15.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Cuchillo Multiuso Mango Madera VIVA HOME,VIVA HOME,S/ 7.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Rallador Con Mango Silicona VIVA HOME,VIVA HOME,S/ 7.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Néctar SELVA Mango Premium Botella 900ml,SELVA,S/ 7.70,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida Rehidratante BODY ARMOR Orange Mango Botella 16oz,BODY ARMOR,S/ 14.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Jugo de Fruta KERO Mango y Maracuyá Botella 475ml,KERO,S/ 5.70,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida Energizante MONSTER Energy Mango Loco Lata 473ml,MONSTER,S/ 8.00,vivanda,MANGO,2024-12-06 11:49:01.276663
Chilcano de Mango PORTÓN Lata 355ml,PORTON,S/ 8.00,vivanda,MANGO,2024-12-06 11:49:01.276663
Espátula de Torta VIVA HOME Mango Silicona Negro,VIVA HOME,S/ 6.50,vivanda,MANGO,2024-12-06 11:49:01.276663
Cuchillo Multiuso VIVA HOME Mango de Silicona,VIVA HOME,S/ 4.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Espátula de Metal VIVA HOME Mango Silicona,VIVA HOME,S/ 9.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida FRUGOS DEL VALLE Mango Caja 235ml Six Pack,FRUGOS,S/ 7.90,vivanda,MANGO,2024-12-06 11:49:01.276663
"Yogurt GLORIA ActiBio con Linaza Sabor a Pitahaya, Mango y Arándanos Botella 950g",GLORIA,S/ 7.50,vivanda,MANGO,2024-12-06 11:49:01.276663
Sour WASSKA Mango y Camu Camu Caja 125g,WASSKA,S/ 8.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Yogurt Griego Parcialmente Descremado TIGO Sabor Mango - Maracuyá Pote 1Kg,TIGO,S/ 15.29,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida FRU+ Sabor a Mango y Durazno Botella 400ml,FRU +,S/ 5.70,vivanda,MANGO,2024-12-06 11:49:01.276663
Yogurt Griego Descremado DANLAC Sabor a Mango Vaso 420g,DANLAC,S/ 11.50,vivanda,MANGO,2024-12-06 11:49:01.276663
Pack Bebida FRUGOS Mango y Fresa Caja 1L + Focaccia con Tomate Refrigerado LA FLORENCIA 1un,FRUGOS,S/ 12.60,vivanda,MANGO,2024-12-06 11:49:01.276663
Grill con Mango Silicona Roja VIVA HOME 28cm,VIVA HOME,S/ 48.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Wok con Mango de Silicona Rojo VIVA HOME 28cm,VIVA HOME,S/ 49.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Pack Bebida PULP Mango Caja 1L + Petit Pan Embolsado 550g,PULP,S/ 12.10,vivanda,MANGO,2024-12-06 11:49:01.276663
Bebida PULP Mango Caja 1L,PULP,S/ 4.40,vivanda,MANGO,2024-12-06 11:49:01.276663
Trinche VIVA HOME Mango de Silicona,VIVA HOME,S/ 5.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Cuchillo Multiuso VIVA HOME Cutlery Mango Blanco,VIVA HOME,S/ 5.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Espumadera de Metal VIVA HOME Mango Silicona,VIVA HOME,S/ 7.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Cuchillo Santoku VIVA HOME Mango de Silicona,VIVA HOME,S/ 7.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Cuchillo Chef VIVA HOME Cutlery Mango Blanco,VIVA HOME,S/ 8.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Espátula VIVA HOME Mango de Plástico Blanco,VIVA HOME,S/ 6.90,vivanda,MANGO,2024-12-06 11:49:01.276663
Cuchillo Chef VIVA HOME Mango de Silicona,VIVA HOME,S/ 5.90,vivanda,MANGO,2024-12-06 11:49:01.276663
