description,brand,price,website,search_term,scrape_timestamp
Fórmula Infantil SIMILAC Total Comfort Caja 1.4Kg,SIMILAC,S/ 275.50,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Láctea NAN 2 Bebés Lata 390g,NAN,S/ 6.50,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Infantil SIMILAC 3 HMO Caja 2100g,SIMILAC,S/ 194.30,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Nutricional GLUCERNA Vainilla para Diabéticos Lata 850g,GLUCERNA,S/ 137.69,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Infantil SIMILAC Total Comfort Lata 820g,SIMILAC,S/ 177.50,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Infantil SIMILAC 3 HMO Lata 800g,SIMILAC,S/ 83.90,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Nutricional GLUCERNA Vainilla Botella 237ml,GLUCERNA,S/ 13.84,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Láctea de Crecimiento NAN 3 Lata 390g Paquete 6un,NAN,S/ 33.40,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Láctea NAN 2 Bebés Lata 390g Paquete 6un,NAN,S/ 37.10,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Láctea de Crecimiento NAN 3 Lata 390g,NAN,S/ 6.50,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Fórmula Infantil SIMILAC 2 HMO Lata 800g,SIMILAC,S/ 158.90,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Shampoo Fórmula Vegana URBAN CARE Ácido Hialurónico Tubo 250ml,URBAN CARE,S/ 39.90,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Shampoo Fórmula Vegana URBAN CARE Twisted Curls Tubo 250ml,URBAN CARE,S/ 39.90,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Desatorados para Cocinas DIAMANTE Fórmula Especial para Tuberías Botella 1Kg,DIAMANTE,S/ 12.89,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Juguete PET STAR en forma de Pez para Gatos,PET STAR,S/ 5.90,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Chocolate LA IBÉRICA CORAZÓN Negro en forma de corazón Caja 80g,LA IBERICA,S/ 19.00,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Plato DECO HOME C/Forma Madera Acacia,DECO HOME,S/ 19.90,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Marshmallow COLOMBINA Millows sabores frutados forma de arcoiris Bolsa 145Gr,COLOMBINA,S/ 5.00,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Papas Prefritas BEM BRASIL con Forma de Caritas Bolsa 1.05Kg,BEM BRASIL,S/ 12.49,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
Galletas para Perros GNAWLERS en forma de Huesos Sabor Carne Paquete 180g,GNAWLERS,S/ 11.50,vivanda,FÓRMULA PARA LACTANTES,2024-12-06 11:35:47.741703
