description,brand,price,website,search_term,scrape_timestamp
Chifles CRICKETS Sabor a Leche de Tigre Bolsa 250g,CRICKET S,S/ 11.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Salados CRICKETS Bolsa 500g,CRICKET S,S/ 21.90,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifle Salado CRICKETS Sabor Leche de Tigre Bolsa 150g,CRICKET S,S/ 8.50,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Salados CRICKETS Bolsa 250g,CRICKET S,S/ 11.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Norteños MILYS Bolsa 160g,GELCE,S/ 7.40,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Dulces BELL'S Bolsa 220g,BELL'S,S/ 7.50,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles KARINTO Salado Bolsa 150g,KARINTO,S/ 9.30,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Dulces ARTICHAY Sabor a Salsa Acevichada Bolsa 210g,ARTICHAY,S/ 16.50,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Cancha y Carne Seca EL ARTESANO Artichay Bolsa 250g,EL ARTESANO,S/ 16.00,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Dulces VILLA NATURA Bolsa 150g,VILLA NATURA,S/ 5.00,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Picantes CRICKETS Bolsa 250g,CRICKET S,S/ 11.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Dulces ARTICHAY Sabor Cabonossi Bolsa 210g,ARTICHAY,S/ 16.50,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chifles Picantes CRICKETS Bolsa 500g,CRICKET S,S/ 21.90,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Piqueo INKA CHIPS Camote yuca chifles Bolsa 125Gr,INKA,S/ 8.00,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Piqueo VILLA NATURA Chifles salados Bolsa 150Gr,VILLA NATURA,S/ 5.00,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Piqueo BELL'S Chifles salados Bolsa 220Gr,BELL'S,S/ 7.50,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Piqueo BELL'S Chifles Salados Táper 100g,BELL'S,S/ 3.90,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Piqueo BELL'S Chifles salados Bolsa 125Gr,BELL'S,S/ 4.70,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chicle TRIDENT Sin Azúcar sabor Mora Azul Envase 18un,TRIDENT,S/ 3.70,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chili BADIA en Polvo Frasco 77.9g,BADIA,S/ 9.60,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chile Casero HERDEZ Frasco 453g,HERDEZ,S/ 16.40,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chicle TRIDENT Sin Azúcar sabor Tutti Frutti Envase 18un,TRIDENT,S/ 4.10,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chicle TRIDENT Sin Azúcar sabor Sandía Envase 18un,TRIDENT,S/ 4.10,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chicle TRIDENT Sin Azúcar sabor Menta Herbal Envase 18un,TRIDENT,S/ 4.10,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Desodorante para hombre en Aerosol para Hombre AXE Ice Chill Frasco 150 ml,AXE,S/ 14.90,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Cigarrillos LUCKY STRIKE Double Chill Caja 20un,LUCKY STRIKE,S/ 19.50,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chupetes BOM BOM BUM con Chicle sabor Maracuyá Bolsa 456g,BON BON,S/ 8.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chupetes GLOBO POP NEON!! Con chicle sabor limonada Bolsa 480Gr,GLOBO POP,S/ 8.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chupetes GLOBO POP!! Con chicle sabores surtidos Bolsa 480Gr,GLOBO POP,S/ 8.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chupetes BOM BOM BUM con Chicle sabor Fresa Bolsa 456g,BON BON,S/ 8.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Pasta Dental ORAL-B Stages Chicle Tubo 75ml,ORAL B,S/ 11.90,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chupetes BOM BOM BUM con Chicle sabores Surtidos Bolsa 456g,BON BON,S/ 8.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Peluche STAR WARS The Mandalorian The Child,STAR WARS,S/ 279.90,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Chupetes GLOBO POP!! Relleno con chicle sabor fresa Bolsa 480Gr,GLOBO POP,S/ 8.20,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Silicona SIMONIZ Protector Uv 3 Chicle 300ml,SIMONIZ,S/ 20.90,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
Deocolonia para hombre en Aerosol para Hombre AXE Ice Chill Efecto Frío Frasco 150ml,AXE,S/ 14.90,vivanda,CHIFLE (BOCADITOS),2024-12-06 12:17:42.204500
