description,price,website,search_term,scrape_timestamp
Piña Golden Metro x kg,S/ 4.99 x kg,metro,PIÑA,2024-12-05 16:05:11.408424
Piña para Jugo x kg,S/ 2.42 x kg,metro,PIÑA,2024-12-05 16:05:11.408424
Piña en Trozos Golden 500g,S/ 13.49,metro,PIÑA,2024-12-05 16:05:11.408424
Agua de Piña Light Golden 1L,S/ 9.39,metro,PIÑA,2024-12-05 16:05:11.408424
Bebida de Piña y Granadilla Golden Botella 485ml,S/ 4.79,metro,PIÑA,2024-12-05 16:05:11.408424
Agua de Piña Golden 1L,S/ 9.39,metro,PIÑA,2024-12-05 16:05:11.408424
Piña en Trozos Golden 350g,S/ 8.49,metro,PIÑA,2024-12-05 16:05:11.408424
Agua de Piña Golden 485ml,S/ 5.29,metro,PIÑA,2024-12-05 16:05:11.408424
Agua de Piña con Arándanos Light Golden 1L,S/ 11.99,metro,PIÑA,2024-12-05 16:05:11.408424
Agua de Piña Light Golden 485ml,S/ 45.90,metro,PIÑA,2024-12-05 16:05:11.408424
Agua de Piña con Arándanos Light Golden 485ml,S/ 6.49,metro,PIÑA,2024-12-05 16:05:11.408424
Tripack Agua de Piña Light con Arándanos Golden Botella 485ml,S/ 13.00,metro,PIÑA,2024-12-05 16:05:11.408424
"Ensalada de Frutas Piña, Sandía y Papaya Natifrut 340g",S/ 9.49,metro,PIÑA,2024-12-05 16:05:11.408424
Pack x3 Agua de Piña Light Golden Botella 485ml,S/ 11.89,metro,PIÑA,2024-12-05 16:05:11.408424
Bebida de Manzana y Piña Golden Botella 485ml,S/ 5.79,metro,PIÑA,2024-12-05 16:05:11.408424
Bebida Piña Colada Light Golden 485ml,S/ 6.79,metro,PIÑA,2024-12-05 16:05:11.408424
Pulpa de Piña Golden Agroselva Doypack 250g,S/ 12.99,metro,PIÑA,2024-12-05 16:05:11.408424
Piña Deshidratada en Trozos Golden x kg,S/ 118.00 x kg,metro,PIÑA,2024-12-05 16:05:11.408424
Pack x3 Agua de Piña Golden Botella 485ml,S/ 11.89,metro,PIÑA,2024-12-05 16:05:11.408424
Bebida de Membrillo y Piña Golden Botella 485ml,S/ 4.79,metro,PIÑA,2024-12-05 16:05:11.408424
Yogurt Sin Lactosa Danlac Line Piña Pitahaya 900g,S/ 10.50,metro,PIÑA,2024-12-05 16:05:11.408424
Yogurt Bebible Ecologic Sabor Piña 1L,S/ 10.70,metro,PIÑA,2024-12-05 16:05:11.408424
Caja Krea Plástica 6L Infantil Piñas,S/ 12.00,metro,PIÑA,2024-12-05 16:05:11.408424
Luces Krea F8 Led Piñas Colores 50un,S/ 16.50,metro,PIÑA,2024-12-05 16:05:11.408424
Cortador y Rebanador Bynd de Piña,S/ 16.19,metro,PIÑA,2024-12-05 16:05:11.408424
Cuchillos Krea para Piña Ristras,S/ 13.00,metro,PIÑA,2024-12-05 16:05:11.408424
