unit,description,price,website,search_term,scrape_timestamp
Paquete 370g,Pack Jamón Pizza BRAEDT Queso Edam Paquete 370...,S/ 13.40 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 440g,Queso Edam LAIVE Paquete 440g,S/ 21.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Pack 300g,Pack Mixto Queso Edam + Jamón Americano LAIVE ...,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 180g,Queso Edam BRAEDT Paquete 180g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 440g,Queso Edam BRAEDT Paquete 440g,S/ 22.50 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 180g,Queso Edam LAIVE Sin Lactosa Paquete 180g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 500g,Queso Edam BONLÉ Paquete 500g,S/ 24.10 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 440g,Queso Edam BELLS Paquete 440g,S/ 19.50 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 340g,Pack Mixto Jamón Pizza y Queso Edam OTTO KUNZ ...,S/ 14.50 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 180g,Queso Edam LAIVE Paquete 180g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Bolsa 338g,Pack Jamón Sándwich + Queso Edam SAN FERNANDO ...,S/ 14.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 500g,Queso Edam GLORIA Paquete 500g,S/ 25.10 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 180g,Queso Edam BELLS Paquete 180g,S/ 9.50 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 250g,Queso Edam BELLS Paquete 250g,S/ 12.50 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Presentación 0.25 kg aprox.,Queso Edam Light LAIVE Molde 1Kg,S/ 13.75,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Pack 340g,Pack Jamón Pizzero + Queso EDAM Paquete 340g,S/ 14.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 250g,Queso Edam GLORIA Paquete 250g,S/ 15.50 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 250g,Queso Edam BONLÉ Paquete 250g,S/ 14.50 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Bolsa 185g,Queso Edam BONLÉ Bolsa 185g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 185g,Queso Edam GLORIA Paquete 185g,S/ 12.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 150g,Queso Edam PRESIDENT Paquete 150g,S/ 10.30 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 300g,Queso Edam en Cubos LA CAMPESINA Paquete 300g,S/ 21.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Presentación 0.1 kg aprox.,Queso Edam BONLÉ Molde x kg,S/ 4.90,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Bandeja 225g,Queso Edam PRÉSIDENT Cheese Wedge Envase 225g,S/ 17.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Bolsa 180g,Queso Edam LA CAMPESINA Paquete 180g,S/ 14.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Presentación 0.2 kg aprox.,Queso Edam MILKUNZ,S/ 13.58,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Presentación 0.1 kg aprox.,Queso Edam Sandwich Kg,S/ 4.09,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Paquete 150g,Queso Edam FRICO Paquete 150g,S/ 11.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Bolsa 300g,Queso Edam LA CAMPESINA Paquete 300g,S/ 23.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Bolsa 200g,Queso Edam LA CAMPESINA en Bloque Paquete 200g,S/ 15.90 un,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
Presentación 0.3 kg aprox.,Queso Edam JANDAMMER x Kg,S/ 29.40,plaza_vea,QUESO EDAM,2024-12-06 13:49:04.625834
