brand,description,price,website,search_term,scrape_timestamp
GLORIA,YOG PARC DES 1.7KG FRESA C PLATANO,S/ 8.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
TOTTUS,Compota de Plátano,S/ 2.50,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
TOTTUS,Keke de Plátano Rectangular,S/ 6,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
TOTTUS,Keke de Plátano Redondo,S/ 14.50,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
GENERICO,Harina de plátano 250 g,S/ 12.30,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
DYFFERENT,Granola Coco Plátano 250 g,S/ 18.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
BESTWAY,Isla Soleada Sicilia 1.83 cm,S/ 119.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
BESTWAY,Isla Cobra Dorada 1.80 M,S/ 116.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
BESTWAY,Flotador Fashion Isla Disney Minnie,S/ 89.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
GLORIA,YOG PARC DESC 1KG FRESA C PLATANO,S/ 5.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
ARTICHAY,Plátano Frito Sabor Cabanossi 210 g,S/ 16.50,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
NATURAL HOME,Yogy Fresas y Plátano 4 unds 100 g,S/ 24.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
,Chocolate Plátano 80% Cacao Quma 70 g,S/ 19.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
ARTICHAY,Plátano Frito Sabor Salsa Acevichado 210 g,S/ 16.50,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
BESTWAY,Flotador Isla Preciosa 1.85 m x 98 cm,S/ 66.90,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
,Snacks para Perros Sabor Plátano y Pollo Pet Care 70 g,S/ 10.50,tottus,PLÁTANO DE LA ISLA,2024-12-04 13:29:32.757801
