brand,description,price,website,search_term,scrape_timestamp
SAPOLIO,Desinfectante Aroma Pino,S/ 13.80,tottus,PIÑA,2024-12-04 13:33:13.389810
YOLODECORO,Escritorio Linus en Pino y Blanco,"S/ 2,449.49",tottus,PIÑA,2024-12-04 13:33:13.389810
YOLODECORO,Escritorio de Pino Oscuro Depot,"S/ 2,449.49",tottus,PIÑA,2024-12-04 13:33:13.389810
TOTTUS,Bolsa de Pino Perfumada 30 L,S/ 7.90,tottus,PIÑA,2024-12-04 13:33:13.389810
PINESOL,Desinfectante Aroma Pino,S/ 39.10,tottus,PIÑA,2024-12-04 13:33:13.389810
PINESOL,Desinfectante Pino,S/ 10.70,tottus,PIÑA,2024-12-04 13:33:13.389810
PINESOL,Desinfectante Pino,S/ 20.50,tottus,PIÑA,2024-12-04 13:33:13.389810
TOTTUS,Desinfectante Pino,S/ 6.50,tottus,PIÑA,2024-12-04 13:33:13.389810
TOTTUS,Desinfectante Pino,S/ 11,tottus,PIÑA,2024-12-04 13:33:13.389810
SAPOLIO,Desinfectante Aroma Pino,S/ 6.10,tottus,PIÑA,2024-12-04 13:33:13.389810
