description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Chuleta de Lomo con Piel de Cerdo x kg,,1.0,kg,18.9,metro,2024-12-07 19:47:15.038127,LOMO DE CERDO,1,kg,18.9,LOMO DE CERDO
Chuleta de Lomo de Cerdo Sin Piel Porcionado x kg,,1.0,kg,21.9,wong,2024-12-07 16:50:13.411630,LOMO DE CERDO,1,kg,21.9,LOMO DE CERDO
Chuleta de Lomo de Cerdo Sin Piel x kg,,1.0,kg,21.9,wong,2024-12-07 16:50:13.411630,LOMO DE CERDO,1,kg,21.9,LOMO DE CERDO
Chuleta de Lomo de Cerdo con Piel Porcionado x kg,,1.0,kg,22.9,wong,2024-12-07 16:50:13.411630,LOMO DE CERDO,1,kg,22.9,LOMO DE CERDO
Lomo Fino de Cerdo Duroc Redondos x kg,,1.0,kg,38.6,wong,2024-12-07 16:50:13.411630,LOMO DE CERDO,1,kg,38.6,LOMO DE CERDO
Lomo Fino de Cerdo x kg,,1.0,kg,38.9,metro,2024-12-07 19:47:15.038127,LOMO DE CERDO,1,kg,38.9,LOMO DE CERDO
Bife de Lomo de Cerdo x kg,,1.0,kg,38.9,metro,2024-12-07 19:47:15.038127,LOMO DE CERDO,1,kg,38.9,LOMO DE CERDO
Bife de Lomo de Cerdo Otto Kunz x kg,,1.0,kg,39.9,wong,2024-12-07 16:50:13.411630,LOMO DE CERDO,1,kg,39.9,LOMO DE CERDO
Lomo Fino de Cerdo x kg,,1.0,kg,40.9,wong,2024-12-07 16:50:13.411630,LOMO DE CERDO,1,kg,40.9,LOMO DE CERDO
Medallón de Lomo de Cerdo San Fernando x kg,,1.0,kg,41.9,wong,2024-12-07 16:50:13.411630,LOMO DE CERDO,1,kg,41.9,LOMO DE CERDO
Lomo de Cerdo en Salsa BBQ Ahuma x kg,,1.0,kg,89.9,metro,2024-12-07 19:47:15.038127,LOMO DE CERDO,1,kg,89.9,LOMO DE CERDO
Lomo de Cerdo en Salsa BBQ Ahuma x kg,,1.0,kg,94.9,wong,2024-12-07 16:50:13.411630,LOMO DE CERDO,1,kg,94.9,LOMO DE CERDO
