description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Chocolate Milky La Iberica Con 30% Almendras y 38% Cacao Tableta 100 g,S/ 20.20,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Milky La Iberica Con 30% Almendras y 38% Cacao Tableta,20.2
Chocolate Yoghurt Strawberry Schogetten Tableta 100 g,S/ 9.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Yoghurt Strawberry Schogetten Tableta,9.9
Chocolate Puro con Almendras 52% Cacao Sin Azúcar Añadida Valor Tableta 150 g,S/ 24.60,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,150.0,g,Chocolate Puro con Almendras 52% Cacao Sin Azúcar Añadida Valor Tableta,24.6
Chocolate de Leche con Almendras Sin Azúcar Añadida Valor Tableta 150 g,S/ 24.60,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,150.0,g,Chocolate de Leche con Almendras Sin Azúcar Añadida Valor Tableta,24.6
Chocolate Schogetten Caramel Brownie Tableta 100 g,S/ 9.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Schogetten Caramel Brownie Tableta,9.9
Chocolate Puro Con Mousse Trufa Sin Azúcar Valor Tableta 100 g,S/ 12.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Puro Con Mousse Trufa Sin Azúcar Valor Tableta,12.9
Chocolate Oscuro sin Azúcar 100% Cacao Extremo Domenico Tableta 70 g,S/ 18.50,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,70.0,g,Chocolate Oscuro sin Azúcar 100% Cacao Extremo Domenico Tableta,18.5
Chocolate Blanco con Galletas Sublime Cookies Tableta 100 g,S/ 9.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Blanco con Galletas Sublime Cookies Tableta,9.9
Chocolate Leche Avellana Mousse Sin Azúcar Valor Tableta 100 g,S/ 12.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Leche Avellana Mousse Sin Azúcar Valor Tableta,12.9
Chocolate con Almendras Hershey's Tableta 41 gr,S/ 4.20,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,41.0,g,Chocolate con Almendras Hershey's Tableta r,4.2
Chocolate de Leche La Ibérica Tableta 100 g,S/ 16.00,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate de Leche La Ibérica Tableta,16.0
Chocolate Oscuro 70% Cacao Domenico Tableta 70 g,S/ 17.00,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,70.0,g,Chocolate Oscuro 70% Cacao Domenico Tableta,17.0
Chocolate Milky La Iberica Con 25% Pecanas y Pasas y 38% Cacao Tableta 100 g,S/ 20.20,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Milky La Iberica Con 25% Pecanas y Pasas y 38% Cacao Tableta,20.2
Chocolate Bitter con Maní Sublime Tableta 100 g,S/ 10.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Bitter con Maní Sublime Tableta,10.9
Chocolate 70% Dark Toffee Valor Tableta 100 g,S/ 12.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate 70% Dark Toffee Valor Tableta,12.9
Chocolate de Leche Sin Azúcar Añadida Valor Tableta 100 g,S/ 12.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate de Leche Sin Azúcar Añadida Valor Tableta,12.9
Chocolate con Leche Hershey's Extra Cremoso Tableta 92 g,S/ 7.50,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,92.0,g,Chocolate con Leche Hershey's Extra Cremoso Tableta,7.5
Chocolate Orquidea Bitter Tableta 85 g,S/ 17.50,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,85.0,g,Chocolate Orquidea Bitter Tableta,17.5
Chocolate Orgánico 65% Cacao Mild Dark Orquídea Tableta 90 g,S/ 21.50,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,Chocolate Orgánico 65% Cacao Mild Dark Orquídea Tableta,21.5
Chocolate con Leche y Quinua 45% Cacao Orquídea Tableta 80 g,S/ 17.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,80.0,g,Chocolate con Leche y Quinua 45% Cacao Orquídea Tableta,17.9
Chocolate para Taza Sin Gluten Tableta 300 g,S/ 21.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,300.0,g,Chocolate para Taza Sin Gluten Tableta,21.9
Tabletas de Chocolate Monedas del Perú 2 Cerritos Doypack 150 gr,S/ 21.10,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,150.0,g,Tabletas de Chocolate Monedas del Perú 2 Cerritos Doypack r,21.1
Tableta Arcor Rocklets 65g,S/ 3.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,65.0,g,Tableta Arcor Rocklets,3.9
Chocolate con Leche con Castañas 40% Cacao Milky La Ibérica Tableta 100 g,S/ 20.20,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate con Leche con Castañas 40% Cacao Milky La Ibérica Tableta,20.2
Chocolate Orgánico 65% Cacao Nibs de Cacao Orquídea Tableta 90 g,S/ 21.50,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,90.0,g,Chocolate Orgánico 65% Cacao Nibs de Cacao Orquídea Tableta,21.5
Tabletas de Chocolate ChocoFichas 2 Cerritos Bolsa 125 gr,S/ 12.10,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,125.0,g,Tabletas de Chocolate ChocoFichas 2 Cerritos Bolsa r,12.1
Chocolate Bitter Valor 70% Dark Tableta 100 g,S/ 12.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Bitter Valor 70% Dark Tableta,12.9
Chocolate Oscuro 70% Cacao Sal Rosada Domenico Tableta 70 g,S/ 17.00,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,70.0,g,Chocolate Oscuro 70% Cacao Sal Rosada Domenico Tableta,17.0
Chocolate con Leche con Maní Clásico Sublime Tableta 100 g,S/ 9.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate con Leche con Maní Clásico Sublime Tableta,9.9
Chocolate Bitter Valor Naranja Tableta 100 g,S/ 12.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Chocolate Bitter Valor Naranja Tableta,12.9
Cobertura Bitter La Ibérica Tableta 200 g,S/ 26.10,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,200.0,g,Cobertura Bitter La Ibérica Tableta,26.1
Cobertura Sabor a Chocolate Bitter Nestlé Tableta 500 g,S/ 17.20,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,500.0,g,Cobertura Sabor a Chocolate Bitter Nestlé Tableta,17.2
Alpine Milk Chocolate Schogetten Tableta 100 g,S/ 9.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Alpine Milk Chocolate Schogetten Tableta,9.9
Dark Chocolate Schogetten Tableta 100 g,S/ 9.90,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,100.0,g,Dark Chocolate Schogetten Tableta,9.9
Cobertura de Leche La Ibérica Tableta 200 g,S/ 26.10,metro,CHOCOLATE EN TABLETA,2024-12-04 21:59:37.820159,200.0,g,Cobertura de Leche La Ibérica Tableta,26.1
