brand,description,price,website,search_term,scrape_timestamp
Colombina,Galleta COLOMBINA Arbolito Navidad Paquete 200gr,S/ 8.80 12%,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
San Jorge,Galletas Navideñas COLOMBINA Navidad Bolsa 150g,S/ 4.20 7%,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Colombina,Galleta COLOMBINA MOMENTS Sabor a Chocolate Paquete 135gr,S/ 4.90 6%,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Timonel,Durazno en Mitades TIMONEL Lata 820g,S/ 8.30 2%,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Vega,Durazno en Mitades VEGA Lata 820g,S/ 7.20,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
San Jorge,Galletas SAN JORGE Coconut Paquete 55g x 2u,S/ 2.00,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Victoria,Galletas GLACITAS Toffee Caja 8 Sixpack 192g,S/ 38.40,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Gn,Galleta GN Rellenitas Sabor a Coco Paquete 8 un,S/ 4.60,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Nestle,Galletas MOROCHAS Pack 6u Paquete 30g,S/ 6.20,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
San Jorge,Galletas SAN JORGE Vainilla Gourmet Paquete 250g,S/ 3.80,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Gn,Galleta GN Rellenitas Sabor a Chocolate Paquete 8 un,S/ 4.60,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Colombina,Galleta COLOMBINA Feliz Navidad Surtido Bolsa 220gr,S/ 6.50,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Vega,Cocktail de Frutas VEGA Lata 820g,S/ 10.40,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Field,Galleta Vainilla FIELD Familiar Paquete 147gr,S/ 2.50,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Ambrosoli,Gomas AMBROSOLI Frugele Bolsa 100 un,S/ 9.50,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Sayon,Galletas SAYON Margarita Paquete 6u 43g.,S/ 5.20,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Ambrosoli,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa 70 un,S/ 9.00,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
San Jorge,Galleta SAN JORGE Vainilla Familiar Paquete 120gr,S/ 1.70,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Ambrosoli,Caramelos AMBROSOLI Banderita Bolsa 80 un,S/ 4.20,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
Morochas,Galletas MOROCHAS Fiesta Bolsa 224gr,S/ 10.90,vega,PASTELES DULCES,2024-12-05 11:49:10.733987
