brand,description,price,website,search_term,scrape_timestamp
Sapolio,Lavavajilla Líquido SAPOLIO Manzana Botella 750 ml,S/ 8.90 3%,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Ambrosoli,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa 70 un,S/ 9.00,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Gn,Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete 8 un,S/ 5.00,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Suavitel,Suavizante SUAVITEL Frescura de Manzana Doypack 180ml,S/ 2.20,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Clorandina,Lavavajilla en Pasta CLORANDINA Manzana Pote 1000gr,S/ 6.30,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
SUEROX,Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml x 12u,S/ 78.00,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Glade,Aromantizante en Spray GLADE 5 en 1 Manzana y Canela Frasco 400ml,S/ 9.90,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Santa Catalina,Avena con Manzana SANTA CATALINA Bolsa 150g,S/ 4.10,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
SUEROX,Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml,S/ 6.50,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Vclean,Limpiador VCLEAN Manzana y Canela Botella 900ml,S/ 3.20,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Suavitel,Suavizante SUAVITEL Frescura de Manzana Botella 970ml,S/ 12.50,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Universal,Maizena UNIVERSAL Bolsa 180gr,S/ 3.00,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Duryea,Maizena DURYEA Caja 100gr,S/ 2.90,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
P.A.N.,Harina de Maíz PAN Precocida Bolsa 1kg,S/ 8.50 13%,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Duryea,Mizena DURYEA Caja 500gr,S/ 8.90 10%,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Blanca Flor,Harina BLANCA FLOR Preparada Paquete 1Kg,S/ 8.00,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Benoti,Harina BENOTI Preparada Paquete 1Kg,S/ 6.00,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Universal,Chuño UNIVERSAL Bolsa 180gr,S/ 3.30,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Benoti,Harina BENOTI Sin Preparar Paquete 1Kg,S/ 5.30,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
Molitalia,Harina MOLITALIA Preparada Bolsa 1kg,S/ 6.90,vega,MANZANA ISRAEL,2024-12-05 12:35:15.787565
