brand,description,price,website,search_term,scrape_timestamp
Sol Del Cuzco,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90g Display 12u,S/ 28.80,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Sol Del Cuzco,Chocolate para Taza SOL DEL CUZCO con Clavo y Canela Tableta 90g,S/ 2.60,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Vega,Chocolate para Taza VEGA Tableta 90g Display 12u,S/ 18.00,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Timonel,Chocolate para Taza TIMONEL Bolsa 90g,S/ 1.70,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Timonel,Chocolate para Taza TIMONEL Tableta 90g Display 12u,S/ 18.00,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Bonle,Leche Chocolatada BONLÉ UHT Tetrapack 180ml Paquete 6un,S/ 9.00,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
La Preferida,Bebida Chocolatada LA PREFERIDA Bolsa 800ml,S/ 3.50,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Gloria,Leche Chocolatada GLORIA UHT Caja 1L,S/ 6.00,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Gloria,Leche Chocolatada GLORIA Fresca Bolsa 900ml,S/ 5.50,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Vigor,Leche Chocolatada UHT VIGOR Bolsa 800ml,S/ 4.30,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
Bonle,Leche Chocolatada BONLE Bolsa 800 ml,S/ 3.50,vega,PRODUCTO ACHOCOLATADO,2024-12-05 13:28:01.638406
