brand,description,price,website,search_term,scrape_timestamp
Timonel,Durazno en Mitades TIMONEL Lata 820g,S/ 8.30 2%,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Vega,Durazno en Mitades VEGA Lata 820g,S/ 7.20,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Aconcagua,Durazno en Mitades ACONCAGUA Lata 822g,S/ 12.30,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Pulp,Duraznos en Conserva PULP Lata 820gr,S/ 10.50,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Timonel,Durazno en Mitades TIMONEL Lata 3Kg,S/ 30.10,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Gloria,Bebida GLORIA Durazno Caja 1L,S/ 4.00,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Frugos,Nectar FRUGOS Durazno Caja 1.5L,S/ 5.80,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Vega,Cocktail de Frutas VEGA Lata 820g,S/ 10.40,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Ambrosoli,Fruna AMBROSOLI Trifuna Fresa - Durazno - Manzana Bolsa 70 un,S/ 9.00,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Timonel,Cocktail de Frutas TIMONEL Lata 820g,S/ 10.80,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Universal,Mazamorra UNIVERSAL Sabor a Durazno Bolsa 150gr,S/ 2.50,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Gn,Galleta GN Doble Deleit Sabor a Manzana y Durazno Paquete 8 un,S/ 5.00,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Gloria,"Bebida GLORIA Durazno Caja 1,5L",S/ 5.00,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Gloria,Bebida GLORIA Sabor a Durazno Caja 1.5L x 3u,S/ 17.40,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
Gloria,Bebida de Durazno GLORIA Caja 500ml,S/ 2.20,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
UMSHA,Mazamorra de Durazno UMSHA Bolsa 125g,S/ 3.70,vega,DURAZNO HUAYCO,2024-12-05 12:33:14.056479
