description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Tableta Para Taza Sabor Chocolate x 90 g,TOTTUS,90.0,g,2.0,tottus,2024-12-06 13:50:43.401850,CHOCOLATE EN PASTA (TAZA),90.0,g,2.0,CHOCOLATE EN PASTA (TAZA)
Chocolate Para Taza 90 g - Barra 90 gr,SOL DEL CUSCO,90.0,g,6.9,tottus,2024-12-06 13:50:43.401850,CHOCOLATE EN PASTA (TAZA),90.0,g,6.9,CHOCOLATE EN PASTA (TAZA)
Chocolate A La Taza Con Azúcar x 100 g,LA IBERICA,100.0,g,10.2,tottus,2024-12-06 13:50:43.401850,CHOCOLATE EN PASTA (TAZA),100.0,g,10.2,CHOCOLATE EN PASTA (TAZA)
Chocolate para Taza Pasta Pura Sol del Cusco 80g,,80.0,g,12.32,metro,2024-12-06 19:04:03.288860,CHOCOLATE EN PASTA (TAZA),80.0,g,12.32,CHOCOLATE EN PASTA (TAZA)
Chocolate para Taza Pasta Pura Sol del Cusco 80g,,80.0,g,12.32,wong,2024-12-06 14:30:34.965086,CHOCOLATE EN PASTA (TAZA),80.0,g,12.32,CHOCOLATE EN PASTA (TAZA)
Chocolate para Taza SOL DE CUSCO Pasta Pura Ta...,,80.0,g,13.7,plaza_vea,2024-12-06 14:25:53.856597,CHOCOLATE EN PASTA (TAZA),80.0,g,13.7,CHOCOLATE EN PASTA (TAZA)
Tableta Para Taza Pasta Pura x 80 g,SOL DEL CUSCO,80.0,g,13.7,tottus,2024-12-06 13:50:43.401850,CHOCOLATE EN PASTA (TAZA),80.0,g,13.7,CHOCOLATE EN PASTA (TAZA)
Tableta Para Taza Chocolate 100% Cacao Organico x 100 g,ORQUIDEA,100.0,g,16.0,tottus,2024-12-06 13:50:43.401850,CHOCOLATE EN PASTA (TAZA),100.0,g,16.0,CHOCOLATE EN PASTA (TAZA)
Chocolate Instantáneo Para Taza Clavo Canela Lata x 324 g,SOL DEL CUSCO,324.0,g,21.4,tottus,2024-12-06 13:50:43.401850,CHOCOLATE EN PASTA (TAZA),324.0,g,21.4,CHOCOLATE EN PASTA (TAZA)
Cafemoka Instantáneo Para Taza x 220 g,SOL DEL CUSCO,220.0,g,21.4,tottus,2024-12-06 13:50:43.401850,CHOCOLATE EN PASTA (TAZA),220.0,g,21.4,CHOCOLATE EN PASTA (TAZA)
Chocolate para Taza TIMONEL Bolsa 90g Caja 50u,Vega,90.0,g,52.0,vega,2024-12-06 12:24:49.282523,CHOCOLATE EN PASTA (TAZA),90.0,g,52.0,CHOCOLATE EN PASTA (TAZA)
