brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
MOLITALIA,Salsa de tomate Pomarola clásica 145 g,S/ 1.90,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,145.0,g,Salsa de tomate Pomarola clásica,1.9
MOLITALIA,Salsa de Tomate Pomarola Bolognesa de 370 g,S/ 6.85,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,370.0,g,Salsa de Tomate Pomarola Bolognesa de,6.85
MOLITALIA,Salsa de Tomate Pomarola Clásica - 6 unidades,S/ 11.10,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,6.0,un,Salsa de Tomate Pomarola Clásica - ades,11.1
MOLITALIA,Salsa de tomate Pomarola clásica de 290 g,S/ 3.60,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,290.0,g,Salsa de tomate Pomarola clásica de,3.6
TOTTUS,Salsa De Tomate x 145 gr,S/ 1.80,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,145.0,g,Salsa De Tomate x r,1.8
MOLITALIA,Salsa de Tomate Pomarola Bolognesa con Carne de 170 g,S/ 3.70,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,170.0,g,Salsa de Tomate Pomarola Bolognesa con Carne de,3.7
BARILLA,Salsa de Tomate Arrabbiata 400 g,S/ 19.80,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,400.0,g,Salsa de Tomate Arrabbiata,19.8
MOLITALIA,Puré de Tomate Pomarola Concentrado 110 g,S/ 1.80,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,110.0,g,Puré de Tomate Pomarola Concentrado,1.8
MUTTI,Concentrado De Tomate 210 g,S/ 13.50,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,210.0,g,Concentrado De Tomate,13.5
MUTTI,Tomate Pelado 400 g,S/ 12.50,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,400.0,g,Tomate Pelado,12.5
POMAROLA,Concentrado De Tomate x 1 Kg,S/ 13.90,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,1.0,kg,Concentrado De Tomate x,13.9
TOTTUS,PULPA FINAL DE TOMATE X 400 G,S/ 4.90,tottus,PASTA Y SALSA DE TOMATE,2024-12-05 12:39:28.205497,400.0,g,PULPA FINAL DE TOMATE X,4.9
