unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bolsa 1kg,Harina de Trigo Preparada BLANCA FLOR Bolsa 1K...,S/ 8.49 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina de Trigo Preparada BLANCA FLOR Bolsa 1K,8.49
Bolsa 130g,Gelatina UNIVERSAL Sabor a Fresa Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,130.0,g,Gelatina UNIVERSAL Sabor a Fresa Bolsa,3.99
Bolsa 1kg,Harina BELL'S De trigo preparada Bolsa 1Kg,S/ 6.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina BELL'S De trigo preparada Bolsa,6.9
Sobre 120g,Gelatina UMSHA Sabor a Fresa Bolsa 120g,S/ 3.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,120.0,g,Gelatina UMSHA Sabor a Fresa Bolsa,3.5
Bolsa 1kg,Harina de Trigo sin Preparar BELL'S Bolsa 1Kg,S/ 4.29 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina de Trigo sin Preparar BELL'S Bolsa,4.29
Caja 19g,Gelatina UNIVERSAL Sabor a Fresa Caja 19g,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,19.0,g,Gelatina UNIVERSAL Sabor a Fresa Caja,3.7
Paquete 1kg,Harina Sin Preparar FAVORITA Paquete 1kg,S/ 4.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina Sin Preparar FAVORITA Paquete,4.5
Bolsa 130g,Gelatina UNIVERSAL Sabor a Piña Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,130.0,g,Gelatina UNIVERSAL Sabor a Piña Bolsa,3.99
Caja 19g,Gelatina UNIVERSAL Sabor a Naranja sin Azúcar ...,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,19.0,g,Gelatina UNIVERSAL Sabor a Naranja sin Azúcar,3.7
Caja 19g,Gelatina UNIVERSAL Sabor a Piña Caja 19g,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,19.0,g,Gelatina UNIVERSAL Sabor a Piña Caja,3.7
Sobre 120g,Gelatina UMSHA Sabor a Piña Bolsa 120g,S/ 3.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,120.0,g,Gelatina UMSHA Sabor a Piña Bolsa,3.5
Bolsa 130g,Gelatina UNIVERSAL Sabor a Naranja Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,130.0,g,Gelatina UNIVERSAL Sabor a Naranja Bolsa,3.99
Bolsa 160g,Gelatina ROYAL Sabor a Fresa Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,160.0,g,Gelatina ROYAL Sabor a Fresa Bolsa,5.0
Bolsa 19g,Gelatina Light BELL'S Piña Bolsa 19g,S/ 2.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,19.0,g,Gelatina Light BELL'S Piña Bolsa,2.5
Caja 19g,Gelatina UNIVERSAL Sabor a Limón Diet Caja 19g,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,19.0,g,Gelatina UNIVERSAL Sabor a Limón Diet Caja,3.7
Bolsa 180g,Harina sin Preparar MOLITALIA Bolsa 180g,S/ 1.20 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,180.0,g,Harina sin Preparar MOLITALIA Bolsa,1.2
Bolsa 1kg,Harina sin Preparar BLANCA FLOR Bolsa 1kg,S/ 7.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina sin Preparar BLANCA FLOR Bolsa,7.5
Sobre 120g,Gelatina UMSHA Sabor a Naranja Bolsa 120g,S/ 3.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,120.0,g,Gelatina UMSHA Sabor a Naranja Bolsa,3.5
Caja 19g,Gelatina Light BELL'S Naranja Caja 19g,S/ 2.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,19.0,g,Gelatina Light BELL'S Naranja Caja,2.5
Bolsa 1kg,Harina de Trigo NICOLINI Preparada Bolsa 1Kg,S/ 6.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina de Trigo NICOLINI Preparada Bolsa,6.99
Bolsa 1kg,Harina de Trigo sin Preparar MOLITALIA sin Pre...,S/ 6.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina de Trigo sin Preparar MOLITALIA sin Pre,6.5
Bolsa 130g,Gelatina UNIVERSAL Sabor a Cereza Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,130.0,g,Gelatina UNIVERSAL Sabor a Cereza Bolsa,3.99
Bolsa 1kg,Harina MOLITALIA Preparada Bolsa 1kg,S/ 7.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina MOLITALIA Preparada Bolsa,7.6
Bolsa 120g,Gelatina UMSHA de Uva Bolsa 120g,S/ 3.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,120.0,g,Gelatina UMSHA de Uva Bolsa,3.5
