unit,description,price,website,search_term,scrape_timestamp
,Jugo de Uva Blanco CASA DE BENTO Botella 300ml,S/ 7.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Jugo de Uva Blanco CASA DE BENTO Botella 1L,S/ 19.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Sombrilla de Playa Blanca Protección UV 200 cm...,S/ 59.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Cola vinílica Pva Extra Blanco 1000gr,S/ 12.80 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Cola vinílica Pva Extra Blanco 500gr,S/ 6.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Filamento Líquido Impresora 3D eSUN Resina Est...,S/ 120 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Filamento Líquido Impresora 3D eSUN Resina Est...,S/ 220 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Mesa de TV Funcional 50"" TU MESITA Eva Melamin...",S/ 699 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Llavero Linterna Uv, Led Blanco Y Laser Rojo 3...",S/ 140 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Mochila Under Armour Loudon, Negro-Blanco, dis...",S/ 225 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Lampara de Tigre para Uñas Facil de Usar Blanc...,S/ 103.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Escurridor Funcional de Uvas en Blanco y Naran...,S/ 73.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Lampara 2 en 1 para Secado de Uñas Blanco Y+Pa...,S/ 106.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Lampara de Secado de Uñas en Color Blanco,S/ 96.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Llavero Pack X3 Linterna Uv, Led Blanco Y Lase...",S/ 19 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Bolsa Impermeable Yaku Talla S Uva con Cierre ...,S/ 39 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Bolsa Impermeable Yaku Talla M Uva con Cierre ...,S/ 45 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Bolsa Impermeable Yaku Talla S Uva con Cierre ...,S/ 39 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Lámpara de Secado de Uñas UV Portátil - Blanco,S/ 40 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Corcho de Natación Pull Boy Eva Krafwin Blanco...,S/ 91.80 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Set Lima Pulidor de Uñas Electrico Generico Bl...,S/ 49.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Velador Vintage Eva Ventitas Home Haya y Blanc...,S/ 379 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Velador Vintage Eva Ventitas Home Blanco,S/ 379 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Aparador Vajillero multiusos AVA color Blanco/...,S/ 949 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Bolsa Impermeable Bamboo Balance Talla XS Uva ...,S/ 33 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Bolsa Impermeable Bamboo Balance Talla XS Uva ...,S/ 33 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Llavero Pack X3 Linterna Uv, Led Blanco Y Lase...",S/ 19 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Llavero Pack X3 Linterna Uv, Led Blanco Y Lase...",S/ 19 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Llavero Pack X3 Linterna Uv, Led Blanco Y Lase...",S/ 19 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Llavero Pack X3 Linterna Uv, Led Blanco Y Lase...",S/ 19 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,"Llavero Pack X3 Linterna Uv, Led Blanco Y Lase...",S/ 19 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Velador Bonno Iva Blanco,S/ 339.99 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Pasamontaña X-Tiger DPMZ-10 Blanco Ciclismo Pr...,S/ 45 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Mangas Ciclismo X-Tiger LF3265 Blanco Cortavie...,S/ 55 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Zapatera Bonno Uma Blanco,S/ 439.99 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Zapatera Moderna Minimalista Eva color Blanco,S/ 619 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Lámpara Eléctrica UV Mata Mosquito Cilindro Bl...,S/ 49.90 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Manga de Brazo Protección Uv Seda Protectora B...,S/ 29 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
,Mini Estante Pravi Urban Home Eva Blanco,S/ 599 un,plaza_vea,UVA BLANCA,2024-12-05 15:19:47.889090
