unit,description,price,website,search_term,scrape_timestamp
Pack 2un,Pack Aceite Vegetal PRIMOR Premium 900ml Botel...,S/ 18.50 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Botella 900ml,Aceite Vegetal PRIMOR Premium Botella 900ml,S/ 9.50 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Botella 900ml,Aceite Vegetal BELL'S Botella 900ml,S/ 5.80 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 140g,Trozos de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.50 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Pack 2un,Pack Aceite Vegetal PRIMOR Clásico Botella 900...,S/ 17 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 140g,Filete de Atún en Aceite Vegetal FLORIDA Lata ...,S/ 5.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Botella 1.8L,Aceite Vegetal PRIMOR Clásico Botella 1.8L,S/ 16.30 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Botella 900ml,Aceite Vegetal PRIMOR Clásico Botella 900ml,S/ 8.50 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 140g,Filete de Atún PRIMOR en Aceite Vegetal Lata 1...,S/ 5.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 150g,Filete de Atún CAMPOMAR en Aceite Vegetal Lata...,S/ 5.60 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Botella 900ml,Aceite Vegetal DELEITE Premium Botella 900ml,S/ 6.20 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Botella 900ml,Aceite Vegetal COCINERO Botella 900ml,S/ 8 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 150g,Lomos de Atún en Aceite Vegetal CAMPOMAR Lata ...,S/ 5.80 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 170g,Sólido de Caballa CAMPOMAR en Aceite Vegetal L...,S/ 5.20 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 150g,Trozos de Atún en Aceite Vegetal CAMPOMAR Lata...,S/ 5.40 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Pack 3un,Filete de Atún en Aceite Vegetal FLORIDA Lata ...,S/ 13 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 140g,Filete de Atún en Aceite Vegetal FANNY Lata 14...,S/ 5.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 170g,Filete de Caballa FRESCOMAR Aceite Vegetal Lat...,S/ 4.80 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Galonera 5L,Aceite Vegetal BELL'S Galonera 5L,S/ 31.30 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Bolsa 15Kg,Comida para Perros MIMASKOT Adultos Raza Media...,S/ 94.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 140g,Filete de Atún en Aceite Vegetal GLORIA Lata 1...,S/ 6 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 140g,Trozos de Atún FLORIDA en Aceite Vegetal Lata ...,S/ 5.80 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Bolsa 22Kg,"Comida para Perros MIMASKOT Carne, Cereal y Ve...",S/ 133.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Pack 2un,Pack Aceite Vegetal COCINERO Botella 900ml x 2...,S/ 16.10 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Lata 140g,Trozos de Atún en Aceite Vegetal GLORIA Lata 1...,S/ 5.90 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Botella 3L,Aceite Vegetal BELL'S Botella 3L,S/ 19.20 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
Bidón 5L,Aceite Vegetal DELEITE Premium Bidón 5L,S/ 35.50 un,plaza_vea,VEGETALES SANCOCHADOS,2024-12-05 16:00:00.558645
