description,price,website,search_term,scrape_timestamp
Papa Seca Máxima Bolsa 500 g,S/ 5.70,metro,PAPA SECA,2024-12-07 20:45:19.712771
Papa Seca Costeño 500g,S/ 8.20,metro,PAPA SECA,2024-12-07 20:45:19.712771
Papa Seca Cuisine & Co 500g,S/ 6.10,metro,PAPA SECA,2024-12-07 20:45:19.712771
Papa Seca Tesoro Del Campo Bolsa 500 g,S/ 7.90,metro,PAPA SECA,2024-12-07 20:45:19.712771
Arveja Verde Tesoro Del Campo Bolsa 500 g,S/ 3.80,metro,PAPA SECA,2024-12-07 20:45:19.712771
Arveja Partida Costeño 500g,S/ 3.80,metro,PAPA SECA,2024-12-07 20:45:19.712771
Alverja Verde Tesoro del Campo Bolsa 350 g,S/ 2.90,metro,PAPA SECA,2024-12-07 20:45:19.712771
Arveja Partida Máxima 500g,S/ 3.50,metro,PAPA SECA,2024-12-07 20:45:19.712771
Arveja Cuisine & Co 500g,S/ 3.50,metro,PAPA SECA,2024-12-07 20:45:19.712771
Arveja Verde Valle Norte Bolsa 500 g,S/ 4.70,metro,PAPA SECA,2024-12-07 20:45:19.712771
Arveja Bolsa 500g,S/ 3.70,metro,PAPA SECA,2024-12-07 20:45:19.712771
