description,price,website,search_term,scrape_timestamp
Barritas de Ganado Vacuno Pet's Fun 500g,S/ 22.50,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hojuelas de Ganado Vacuno Deshidratado Pet's Fun 750g,S/ 30.00,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Barritas de ganado Vacuno Pet's Fun 250g,S/ 13.20,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Huesitos de Ganado Vacuno Deshidratado Pet's Fun 162g,S/ 16.40,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Premios de Vacuno Ahumados Pet's Fun 80g,S/ 9.00,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hueso de Ganado Vacuno Deshidratado Pet's Fun 100g,S/ 14.59,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hueso de Ganado Vacuno Deshidratado Pet's Fun 130g,S/ 18.00,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Huesos de ganado Vacuno Deshidratado Pet's Fun 75g,S/ 9.80,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Snack Dentitoy Pescado Vacuno 6un,S/ 6.70,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Barritas de Ganado Pet's Fun Vacuno Piernita Crema,S/ 14.00,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Delicias Pechuga de Pato y Vacuno Dentitoy 4un,S/ 8.60,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hojuelas de ganado Vacuno deshidrat Pet's Fun 60g,S/ 6.50,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Huesitos de Ganado Vacuno Deshidratado Pet's Fun 30g,S/ 5.20,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hojuelas de Ganado Vacuno Deshidratado Pet's Fun 250g,S/ 12.90,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Huesos de ganado Vacuno deshidratad Pet's Fun 250g,S/ 14.50,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Delicias Pechuga de Pavo y Vacuno Dentitoy 4un,S/ 8.60,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hojuelas de ganado Vacuno deshidrat Pet's Fun 100g,S/ 9.10,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Premios de Vacuno Ahumados Pet's Fun 250g,S/ 14.20,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hermético Percutti Vacuum 1.500ml,S/ 26.40,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hermético Percutti Vacuum 2.000ml,S/ 26.40,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hermético Percutti Vacuum 600ml,S/ 14.80,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hermético Percutti Vacuum 2.400ml,S/ 32.00,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Salchicha Naranja Paquete al Vacío 1 K,S/ 10.62,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hermético Percutti Vacuum 900ml,S/ 18.80,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Extractor de Aire Percutti Vacuum,S/ 32.00,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Hermético Percutti Vacuum 750ml,S/ 18.80,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Bife de Vacío de Res Metro x kg,S/ 47.80 x kg,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Queso Maduro Edam Vonk Bola al Vacío x Kilo,S/ 103.50 x kg,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
Blíster de Cuchillo Facuso Durawood N°08,S/ 18.99,metro,CHURRASCO DE VACUNO,2024-12-07 19:50:51.183994
