description,brand,price,website,search_term,scrape_timestamp
Cebolla Roja x kg,VIVANDA,S/ 2.69,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Cebolla Blanca x kg,VIVANDA,S/ 3.79,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Cebolla China BELL'S FRESCOS Bolsa 320g,BELL'S FRESCOS,S/ 3.49,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Cebolla China VIVA Bolsa 250g,VIVA,S/ 6.00,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Cebolla Picada BELL'S FRESCOS Bandeja 200g,BELL'S FRESCOS,S/ 8.99,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Cebolla en polvo BADIA Frasco 78Gr,BADIA,S/ 9.40,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Papas INKA CHIPS BBQ & Cebolla Bolsa 135g,INKA CHIPS,S/ 7.80,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Papas Fritas BELL'S Sabor Crema y Cebolla Lata 150g,BELL'S,S/ 6.10,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Papas PRINGLES Crema y Cebolla Lata 109g,PRINGLES,S/ 8.50,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Sazonador Total con Cebolla GOYA Frasco 312g,GOYA,S/ 28.90,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Huevos Pardos LA CALERA Paquete 30un,LA CALERA,S/ 23.30,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Huevos de Gallina LA CALERA de Corral Bandeja 12un,LA CALERA,S/ 14.50,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Huevos Blancos LA CALERA Paquete 15un,LA CALERA,S/ 11.50,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Huevos de Gallina LA CALERA Pardos Jumbo Bandeja 15un,LA CALERA,S/ 12.90,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Huevos Pardos LA CALERA Bandeja 15un,LA CALERA,S/ 11.49,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Huevos de Codorniz LA CALERA Bandeja 18un,LA CALERA,S/ 7.49,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Canela Entera KARIÑO Sobre 9g,KARINO,S/ 4.20,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
Cereza Entera GREEN FOOD Bolsa 400g,GREEN FOOD,S/ 15.50,vivanda,CEBOLLA DE CABEZA (ROJA),2024-12-05 22:13:18.677349
