description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Espinaca Baby BELL'S FRESCOS Bolsa 150g,BELL'S FRESCOS,S/ 4.39,vivanda,ESPINACA,2024-12-04 17:52:37.517939,150.0,g,Espinaca Baby BELL'S FRESCOS Bolsa,4.39
Espinaca BELL'S FRESCOS Bolsa 350g,BELL'S FRESCOS,S/ 4.29,vivanda,ESPINACA,2024-12-04 17:52:37.517939,350.0,g,Espinaca BELL'S FRESCOS Bolsa,4.29
Espinaca Bebé VIVA Bolsa 120g,VIVA,S/ 7.59,vivanda,ESPINACA,2024-12-04 17:52:37.517939,120.0,g,Espinaca Bebé VIVA Bolsa,7.59
Espinaca VIVA Bolsa 400g,VIVA,S/ 7.59,vivanda,ESPINACA,2024-12-04 17:52:37.517939,400.0,g,Espinaca VIVA Bolsa,7.59
Espinaca Extra EL CORTE INGLÉS Frasco 600g,EL CORTE INGLÉS,S/ 9.80,vivanda,ESPINACA,2024-12-04 17:52:37.517939,600.0,g,Espinaca Extra EL CORTE INGLÉS Frasco,9.8
Hamburguesa de Garbanzos y Espinacas SANÚA Caja 5un,SANUA,S/ 28.00,vivanda,ESPINACA,2024-12-04 17:52:37.517939,5.0,un,Hamburguesa de Garbanzos y Espinacas SANÚA Caja,28.0
Quiche de Tomate y Espinaca HOME CHEF Caja 1un,HOME CHEF,S/ 28.50,vivanda,ESPINACA,2024-12-04 17:52:37.517939,1.0,un,Quiche de Tomate y Espinaca HOME CHEF Caja,28.5
Ravioles DON ITALO De Ricotta con Espinaca Bandeja 500g,DON ITALO,S/ 30.00,vivanda,ESPINACA,2024-12-04 17:52:37.517939,500.0,g,Ravioles DON ITALO De Ricotta con Espinaca Bandeja,30.0
Queso Crema Gourmet DELICE con Espinaca & Tocino Paquete 150g,DELICE,S/ 16.90,vivanda,ESPINACA,2024-12-04 17:52:37.517939,150.0,g,Queso Crema Gourmet DELICE con Espinaca & Tocino Paquete,16.9
Ravioles de Ricotta y Espinaca IL PASTIFICIO Bandeja 500g,IL PASTIFICIO,S/ 30.90,vivanda,ESPINACA,2024-12-04 17:52:37.517939,500.0,g,Ravioles de Ricotta y Espinaca IL PASTIFICIO Bandeja,30.9
Fideos SANTA CATALINA Espinaca y albahaca Bolsa 400Gr,SANTA CATALINA,S/ 5.30,vivanda,ESPINACA,2024-12-04 17:52:37.517939,400.0,g,Fideos SANTA CATALINA Espinaca y albahaca Bolsa r,5.3
Raviolito Ricotta y Espinaca Kids ILPASTIFICIO Caja 400g,ILPASTIFICIO,S/ 19.40,vivanda,ESPINACA,2024-12-04 17:52:37.517939,400.0,g,Raviolito Ricotta y Espinaca Kids ILPASTIFICIO Caja,19.4
