description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Chorizo Parrillero OTTO KUNZ 400g,OTTO KUNZ,S/ 15.70,vivanda,CHORIZO,2024-12-04 17:29:01.677190,400.0,g,Chorizo Parrillero OTTO KUNZ,15.7
Chorizo Parrillero CASA EUROPA 500g,CASA EUROPA,S/ 22.20,vivanda,CHORIZO,2024-12-04 17:29:01.677190,500.0,g,Chorizo Parrillero CASA EUROPA,22.2
Chorizo Parrillero Precocido BRAEDT 500g,BRAEDT,S/ 16.40,vivanda,CHORIZO,2024-12-04 17:29:01.677190,500.0,g,Chorizo Parrillero Precocido BRAEDT,16.4
Chorizo Sarta Español HIBERO Pieza 140g,HIBERO,S/ 12.90,vivanda,CHORIZO,2024-12-04 17:29:01.677190,140.0,g,Chorizo Sarta Español HIBERO Pieza,12.9
Chorizo Parrillero OREGON FOOD'S Caja 5un,OREGON FOOD'S,S/ 21.50,vivanda,CHORIZO,2024-12-04 17:29:01.677190,5.0,un,Chorizo Parrillero OREGON FOOD'S Caja,21.5
Chorizo Artesanal de Miel de Maple con Tocino LA CHARCUTERÍA Caja 4un,LA CHARCUTERÍA,S/ 32.00,vivanda,CHORIZO,2024-12-04 17:29:01.677190,4.0,un,Chorizo Artesanal de Miel de Maple con Tocino LA CHARCUTERÍA Caja,32.0
Chorizo Parrillero Precocido CASA EUROPA 500g,CASA EUROPA,S/ 24.10,vivanda,CHORIZO,2024-12-04 17:29:01.677190,500.0,g,Chorizo Parrillero Precocido CASA EUROPA,24.1
Chorizo Finas Hierbas Picante CASA EUROPA 500g,CASA EUROPA,S/ 27.80,vivanda,CHORIZO,2024-12-04 17:29:01.677190,500.0,g,Chorizo Finas Hierbas Picante CASA EUROPA,27.8
Chorizo Mix Cocktail Parrillero CASA EUROPA 450g,CASA EUROPA,S/ 24.10,vivanda,CHORIZO,2024-12-04 17:29:01.677190,450.0,g,Chorizo Mix Cocktail Parrillero CASA EUROPA,24.1
Chorizo Reserva HIBERO Paquete 80g,HIBERO,S/ 10.90,vivanda,CHORIZO,2024-12-04 17:29:01.677190,80.0,g,Chorizo Reserva HIBERO Paquete,10.9
Chorizo Extra GOIKOA Paquete 70g,GOIKOA,S/ 7.00,vivanda,CHORIZO,2024-12-04 17:29:01.677190,70.0,g,Chorizo Extra GOIKOA Paquete,7.0
Chorizo Parrilerro Argentino OREGON FOOD'S Caja 5un,OREGON FOOD'S,S/ 24.50,vivanda,CHORIZO,2024-12-04 17:29:01.677190,5.0,un,Chorizo Parrilerro Argentino OREGON FOOD'S Caja,24.5
Chorizo Finas Hierbas SAN FERNANDO Paquete 400g,SAN FERNANDO,S/ 14.99,vivanda,CHORIZO,2024-12-04 17:29:01.677190,400.0,g,Chorizo Finas Hierbas SAN FERNANDO Paquete,14.99
Chorizo Italiano OTTO KUNZ 220g,OTTO KUNZ,S/ 12.50,vivanda,CHORIZO,2024-12-04 17:29:01.677190,220.0,g,Chorizo Italiano OTTO KUNZ,12.5
Chorizo Sarta Picante GOIKOA Paquete 225g,GOIKOA,S/ 19.00,vivanda,CHORIZO,2024-12-04 17:29:01.677190,225.0,g,Chorizo Sarta Picante GOIKOA Paquete,19.0
Chorizo Español HIBERO Pieza 140g,HIBERO,S/ 11.90,vivanda,CHORIZO,2024-12-04 17:29:01.677190,140.0,g,Chorizo Español HIBERO Pieza,11.9
Chorizo Finas Hierbas SALCHICHERÍA ALEMANA 400g,SALCHICHERÍA ALEMANA,S/ 18.80,vivanda,CHORIZO,2024-12-04 17:29:01.677190,400.0,g,Chorizo Finas Hierbas SALCHICHERÍA ALEMANA,18.8
Chorizo Finas Hierbas OREGON FOOD'S Paquete 400g,OREGON FOOD'S,S/ 20.90,vivanda,CHORIZO,2024-12-04 17:29:01.677190,400.0,g,Chorizo Finas Hierbas OREGON FOOD'S Paquete,20.9
Chorizo Artesanal de Finas Hierbas LA CHARCUTERÍA Caja 4un,LA CHARCUTERÍA,S/ 32.00,vivanda,CHORIZO,2024-12-04 17:29:01.677190,4.0,un,Chorizo Artesanal de Finas Hierbas LA CHARCUTERÍA Caja,32.0
Chorizo Parrillero OREGON FOOD'S Paquete 500g,OREGON FOOD'S,S/ 20.50,vivanda,CHORIZO,2024-12-04 17:29:01.677190,500.0,g,Chorizo Parrillero OREGON FOOD'S Paquete,20.5
Chorizo Parrillero Precocido BRAEDT Cocktail Empaque 250g,BRAEDT,S/ 11.90,vivanda,CHORIZO,2024-12-04 17:29:01.677190,250.0,g,Chorizo Parrillero Precocido BRAEDT Cocktail Empaque,11.9
Chorizo Vegano DELLANATURA Caja 4un,DELLANATURA,S/ 25.90,vivanda,CHORIZO,2024-12-04 17:29:01.677190,4.0,un,Chorizo Vegano DELLANATURA Caja,25.9
Chorizo Cocido SAN FERNANDO 480g,SAN FERNANDO,S/ 12.50,vivanda,CHORIZO,2024-12-04 17:29:01.677190,480.0,g,Chorizo Cocido SAN FERNANDO,12.5
Chorizo Parrillero Crudo SALCHICHERÍA ALEMANA 500g,SALCHICHERÍA ALEMANA,S/ 19.30,vivanda,CHORIZO,2024-12-04 17:29:01.677190,500.0,g,Chorizo Parrillero Crudo SALCHICHERÍA ALEMANA,19.3
Chorizo Campestre OTTO KUNZ 400g,OTTO KUNZ,S/ 19.70,vivanda,CHORIZO,2024-12-04 17:29:01.677190,400.0,g,Chorizo Campestre OTTO KUNZ,19.7
Chorizo Parrillero Artesanal BRAEDT 400g,BRAEDT,S/ 17.70,vivanda,CHORIZO,2024-12-04 17:29:01.677190,400.0,g,Chorizo Parrillero Artesanal BRAEDT,17.7
Chorizo Finas Hierbas Cocktail BRAEDT 250g,BRAEDT,S/ 13.10,vivanda,CHORIZO,2024-12-04 17:29:01.677190,250.0,g,Chorizo Finas Hierbas Cocktail BRAEDT,13.1
Chorizo Precocido Finas Hierbas SALCHICHERÍA ALEMANA 320g,SALCHICHERÍA ALEMANA,S/ 15.50,vivanda,CHORIZO,2024-12-04 17:29:01.677190,320.0,g,Chorizo Precocido Finas Hierbas SALCHICHERÍA ALEMANA,15.5
Chorizo Algarrobina LA GENOVESA Paquete 420g,LA GENOVESA,S/ 22.50,vivanda,CHORIZO,2024-12-04 17:29:01.677190,420.0,g,Chorizo Algarrobina LA GENOVESA Paquete,22.5
