brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Paracas,Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete 4un 6 pack,S/ 37.29 17%,vega,PAPAYA,2024-12-07 16:00:35.809318,4.0,un,Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete  6 pack,37.29
Paracas,Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete 4un,S/ 7.90,vega,PAPAYA,2024-12-07 16:00:35.809318,4.0,un,Papel Higiénico PARACAS Gold Negro Doble Hoja Paquete,7.9
Pringles,Papas PRINGLES Original Lata 104g,S/ 8.90,vega,PAPAYA,2024-12-07 16:00:35.809318,104.0,g,Papas PRINGLES Original Lata,8.9
PAPI RICAS,Papas PAPI RICAS Sabor Picante Bolsa 70gr,S/ 2.80,vega,PAPAYA,2024-12-07 16:00:35.809318,70.0,g,Papas PAPI RICAS Sabor Picante Bolsa r,2.8
Lays,Papas LAYS Clásicas Bolsa 210gr,S/ 7.00,vega,PAPAYA,2024-12-07 16:00:35.809318,210.0,g,Papas LAYS Clásicas Bolsa r,7.0
Vega,Papas al Hilo VEGA Bolsa 150gr,S/ 5.20,vega,PAPAYA,2024-12-07 16:00:35.809318,150.0,g,Papas al Hilo VEGA Bolsa r,5.2
Lays,Papitas al Hilo LAYS con Sal Bolsa 155gr,S/ 5.80,vega,PAPAYA,2024-12-07 16:00:35.809318,155.0,g,Papitas al Hilo LAYS con Sal Bolsa r,5.8
Pringles,Papas PRINGLES Sour & Cream Lata 109g,S/ 8.90,vega,PAPAYA,2024-12-07 16:00:35.809318,109.0,g,Papas PRINGLES Sour & Cream Lata,8.9
Pringles,Papas PRINGLES Queso Lata 109g,S/ 8.90,vega,PAPAYA,2024-12-07 16:00:35.809318,109.0,g,Papas PRINGLES Queso Lata,8.9
Vega,Papa seca VEGA Bolsa 400g,S/ 4.30,vega,PAPAYA,2024-12-07 16:00:35.809318,400.0,g,Papa seca VEGA Bolsa,4.3
PAPI RICAS,Papas PAPI RICAS Sabor Picante Bolsa 28gr,S/ 1.50,vega,PAPAYA,2024-12-07 16:00:35.809318,28.0,g,Papas PAPI RICAS Sabor Picante Bolsa r,1.5
Lays,Papas LAYS Ondas Picantes Bolsa 140g,S/ 5.90,vega,PAPAYA,2024-12-07 16:00:35.809318,140.0,g,Papas LAYS Ondas Picantes Bolsa,5.9
INKA CHIPS,Papas INKA CHIPS Sabor Jalapeño 135g,S/ 7.80,vega,PAPAYA,2024-12-07 16:00:35.809318,135.0,g,Papas INKA CHIPS Sabor Jalapeño,7.8
RIKY TOK,Papas RIKY TOK Ondas Picantes Bolsa 180g,S/ 5.70,vega,PAPAYA,2024-12-07 16:00:35.809318,180.0,g,Papas RIKY TOK Ondas Picantes Bolsa,5.7
Lays,Papas LAYS Clásicas Bolsa 150g,S/ 5.80,vega,PAPAYA,2024-12-07 16:00:35.809318,150.0,g,Papas LAYS Clásicas Bolsa,5.8
Timonel,Papa Seca TIMONEL Bolsa 400gr,S/ 5.10,vega,PAPAYA,2024-12-07 16:00:35.809318,400.0,g,Papa Seca TIMONEL Bolsa r,5.1
RIKY TOK,Papas RIKY TOK Ondas Naturales Bolsa 30g,S/ 1.00,vega,PAPAYA,2024-12-07 16:00:35.809318,30.0,g,Papas RIKY TOK Ondas Naturales Bolsa,1.0
INKA CHIPS,Papas Fritas INKA CHIPS BBQ y Cebolla Bolsa 135g,S/ 7.80,vega,PAPAYA,2024-12-07 16:00:35.809318,135.0,g,Papas Fritas INKA CHIPS BBQ y Cebolla Bolsa,7.8
