description,brand,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pasas Morenas BELL'S Bolsa 180g,BELL'S,S/ 4.50,vivanda,PASAS,2024-12-05 22:07:20.330029,180.0,g,Pasas Morenas BELL'S Bolsa,4.5
Pasas Rubias VILLA NATURA Bolsa 150g,VILLA NATURA,S/ 8.90,vivanda,PASAS,2024-12-05 22:07:20.330029,150.0,g,Pasas Rubias VILLA NATURA Bolsa,8.9
Pasas Morenas VALLEALTO Doypack 250g,VALLEALTO,S/ 8.00,vivanda,PASAS,2024-12-05 22:07:20.330029,250.0,g,Pasas Morenas VALLEALTO Doypack,8.0
Pasas Morenas BELL'S Táper 250g,BELL'S,S/ 7.50,vivanda,PASAS,2024-12-05 22:07:20.330029,250.0,g,Pasas Morenas BELL'S Táper,7.5
Pasas Morenas VILLA NATURA Bolsa 150g,VILLA NATURA,S/ 5.00,vivanda,PASAS,2024-12-05 22:07:20.330029,150.0,g,Pasas Morenas VILLA NATURA Bolsa,5.0
Pasas Rubias BELL'S Táper 150g,BELL'S,S/ 8.49,vivanda,PASAS,2024-12-05 22:07:20.330029,150.0,g,Pasas Rubias BELL'S Táper,8.49
Pasas Morenas VALLEALTO Bolsa 150g,VALLEALTO,S/ 4.90,vivanda,PASAS,2024-12-05 22:07:20.330029,150.0,g,Pasas Morenas VALLEALTO Bolsa,4.9
Pasas Morenas VILLA NATURA Bolsa 250g,VILLA NATURA,S/ 8.90,vivanda,PASAS,2024-12-05 22:07:20.330029,250.0,g,Pasas Morenas VILLA NATURA Bolsa,8.9
Cereal UNIÓN Granola Pasas y Almendras Doypack 400g,UNIÓN,S/ 16.49,vivanda,PASAS,2024-12-05 22:07:20.330029,400.0,g,Cereal UNIÓN Granola Pasas y Almendras Doypack,16.49
"Yogurt GLORIA ActiBio con Linaza Sabor a Higo, Guindón y Pasas Botella 180g",GLORIA,S/ 2.00,vivanda,PASAS,2024-12-05 22:07:20.330029,180.0,g,"Yogurt GLORIA ActiBio con Linaza Sabor a Higo, Guindón y Pasas Botella",2.0
Barra de Cereal Q FOODS Quinoa Pasas y Chocolate Caja 6un,Q FOODS,S/ 20.90,vivanda,PASAS,2024-12-05 22:07:20.330029,6.0,un,Barra de Cereal Q FOODS Quinoa Pasas y Chocolate Caja,20.9
Piqueo VILLA NATURA Pasas Maní Almendra Pecanas y Nueces Táper 250g,VILLA NATURA,S/ 12.90,vivanda,PASAS,2024-12-05 22:07:20.330029,250.0,g,Piqueo VILLA NATURA Pasas Maní Almendra Pecanas y Nueces Táper,12.9
Chocolate 2 CERRITOS con Pasas Bolsa 125g,NURIA,S/ 10.10,vivanda,PASAS,2024-12-05 22:07:20.330029,125.0,g,Chocolate 2 CERRITOS con Pasas Bolsa,10.1
Panetón con Pasas y Frutas Confitadas TODINNITO Caja 85g,TODINNO,S/ 4.60,vivanda,PASAS,2024-12-05 22:07:20.330029,85.0,g,Panetón con Pasas y Frutas Confitadas TODINNITO Caja,4.6
Chocolate Milky LA IBÉRICA Pecanas y Pasas Caja 100g,LA IBERICA,S/ 20.20,vivanda,PASAS,2024-12-05 22:07:20.330029,100.0,g,Chocolate Milky LA IBÉRICA Pecanas y Pasas Caja,20.2
Piqueo BELL'S Maní con pasas Bolsa 180Gr,BELL'S,S/ 5.70,vivanda,PASAS,2024-12-05 22:07:20.330029,180.0,g,Piqueo BELL'S Maní con pasas Bolsa r,5.7
Granola BELL'S Coco y Pasas Doypack 350g,BELL'S,S/ 9.90,vivanda,PASAS,2024-12-05 22:07:20.330029,350.0,g,Granola BELL'S Coco y Pasas Doypack,9.9
"Yogurt GLORIA ActiBio con Linaza Sabor a Higo, Guindón y Pasas Galonera 1.7Kg",GLORIA,S/ 10.90,vivanda,PASAS,2024-12-05 22:07:20.330029,1.7,kg,"Yogurt GLORIA ActiBio con Linaza Sabor a Higo, Guindón y Pasas Galonera",10.9
Chocolate en Barra LA IBÉRICA Milky Pecanas y Pasas Paquete 50g,LA IBERICA,S/ 8.50,vivanda,PASAS,2024-12-05 22:07:20.330029,50.0,g,Chocolate en Barra LA IBÉRICA Milky Pecanas y Pasas Paquete,8.5
Piqueo VILLA NATURA Pasas Almendras Pecanas Nueces y Anacardos Táper 250g,VILLA NATURA,S/ 19.00,vivanda,PASAS,2024-12-05 22:07:20.330029,250.0,g,Piqueo VILLA NATURA Pasas Almendras Pecanas Nueces y Anacardos Táper,19.0
Colado HEINZ Ciruela y Pasas Frasco 113g,HEINZ,S/ 5.60,vivanda,PASAS,2024-12-05 22:07:20.330029,113.0,g,Colado HEINZ Ciruela y Pasas Frasco,5.6
