description,price,website,search_term,scrape_timestamp
Galletas Rellenas Nestlé Choco Trio Cookies and Cream 90g,S/ 12.50,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas Nestlé Choco Trio Chocolate 90g,S/ 12.50,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas Oreo Bañadas Lata 328g,S/ 19.90,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas de Avena y Cacao Rellenas de Maní La Purita 200g,S/ 20.30,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas Catalina Crunch Peanut Butter 16un.,S/ 50.90,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas Nestlé Choco Cookies Crema de Avellana 120g,S/ 7.50,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas Catalina Crunch Chocolate Mint 16un.,S/ 50.90,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas con Manjar con Cobertura Sabor Chocolate Antojo Caja 12 unid,S/ 32.30,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas de Avena y Vainilla Rellenas de Maní La Purita 200g,S/ 20.30,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas Nestlé Choco Cookies Chocolate 120g,S/ 7.50,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas con Chocolate Biscolata Mood 115g,S/ 9.90,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas Oreo Coca Cola 108g,S/ 2.60,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galleta Rellena De Chocolate Peppa Pig Contenido 160 g,S/ 16.20,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas PJ Mask Sabor Chocolate 160g,S/ 16.20,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
"Galletas de Avena, Cacao y Vainilla Rellenas de Maní La Purita 200g",S/ 20.30,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Galletas Rellenas Bon o Bon Navidad Bon O Bon 190g,S/ 14.50,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Twelvepack Galletas Rellenas Oreo Original 36g,S/ 9.40,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Pack x3 Sixpack Galletas Rellenas Charada 37.8g,S/ 12.00,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Sixpack Galletas Rellenas Oreo Coca Cola 36g,S/ 5.20,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Sixpack Galletas Rellenas Charada 37.8g,S/ 5.20,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Tripack Sixpack Galletas Rellenas Oreo Coca Cola 36g,S/ 14.40,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Pack x2 Galletas Rellenas Oreo Original Paquete 432g,S/ 18.20,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Twelvepack Galletas Rellenas Oreo Coca Cola 36g,S/ 10.00,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Twopack Sixpack Galletas Rellenas Charada 37.8g,S/ 9.50,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Twopack Sixpack Galletas Rellenas Oreo Coca Cola 36g,S/ 9.90,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Twopack Twelvepack Galletas Rellenas Oreo Coca Cola 36g,S/ 18.20,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
Sixpack Galleta Rellena Chocman 40g,S/ 6.20,wong,GALLETAS RELLENAS,2024-12-06 13:01:59.419269
