description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pastel Pingüinos Minix Sabor Cookies & Cream 200g,S/ 8.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,200.0,g,Pastel Pingüinos Minix Sabor Cookies & Cream,8.9
Pastel Pingüinos Sabor Cookies & Cream 80g,S/ 3.50,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,80.0,g,Pastel Pingüinos Sabor Cookies & Cream,3.5
Pastelitos Sabor Chocolate Marinela Pingüinos Minix 10un,S/ 8.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,10.0,un,Pastelitos Sabor Chocolate Marinela Pingüinos Minix,8.9
Keke Sabor Vainilla Relleno Gansito Marinela Paquete 50 g,S/ 2.70,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,50.0,g,Keke Sabor Vainilla Relleno Gansito Marinela Paquete,2.7
Alfajor Bon o Bon Arcor Paquete 6 unidades,S/ 19.60,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,6.0,un,Alfajor Bon o Bon Arcor Paquete ades,19.6
Brownie Tipo Trufa Delisha x Unid,S/ 4.59,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Brownie Tipo Trufa Delisha,4.59
Cupcake Mascotas Gatito x unid,S/ 4.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Cupcake Mascotas Gatito,4.9
Mini Brownie Clásico Giardino 60un.,S/ 33.50,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,60.0,un,Mini Brownie Clásico Giardino .,33.5
Galletas de Vainilla con Choco Chips Cuisine & Co 8un,S/ 14.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,8.0,un,Galletas de Vainilla con Choco Chips Cuisine & Co,14.9
Galletas Dolce María IIditas 100g,S/ 9.50,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,100.0,g,Galletas Dolce María IIditas,9.5
Paleta de Chocolate Bitter Giardino x Unid,S/ 2.50,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Paleta de Chocolate Bitter Giardino,2.5
Copa Tres Leches de Chocolate x Unid,S/ 10.50,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Copa Tres Leches de Chocolate,10.5
Copa Tres Leches Clásica Vaso 1 unid,S/ 10.50,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Copa Tres Leches Clásica Vaso,10.5
Galletas de Chocolate con Naranja Cuisine & Co 8un,S/ 14.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,8.0,un,Galletas de Chocolate con Naranja Cuisine & Co,14.9
Brownies Surtidos Giardino 4un,S/ 16.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,4.0,un,Brownies Surtidos Giardino,16.9
Alfajores Gustozzi 2un,S/ 6.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,2.0,un,Alfajores Gustozzi,6.9
Barra de Cereal Delisha Fit Granola 55g,S/ 4.20,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,55.0,g,Barra de Cereal Delisha Fit Granola,4.2
Copa Profiteroles Wong x Unid,S/ 8.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Copa Profiteroles Wong,8.9
Brownie con Fudge Delisha x Un,S/ 4.59,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Brownie con Fudge Delisha,4.59
Copa Chocolúcuma Wong x Unid,S/ 8.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Copa Chocolúcuma Wong,8.9
Mini Muffins Giardino Vainilla Chips 48un,S/ 19.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,48.0,un,Mini Muffins Giardino Vainilla Chips,19.9
Brownie Tradicional Delisha x Un,S/ 4.59,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,1.0,un,Brownie Tradicional Delisha,4.59
Alfajores Decorados Metro 18un,S/ 18.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,18.0,un,Alfajores Decorados Metro,18.9
Galletas Dulce María Cachitos de Castañas Bolsa 100 g,S/ 9.50,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,100.0,g,Galletas Dulce María Cachitos de Castañas Bolsa,9.5
Galletas Dolce María Canestrellis 100g,S/ 9.50,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,100.0,g,Galletas Dolce María Canestrellis,9.5
Galletas de Avena Dulce Detalle 3un,S/ 15.90,metro,PASTELES DULCES,2024-12-05 15:17:39.963724,3.0,un,Galletas de Avena Dulce Detalle,15.9
