description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Hojuelas de Maíz Kellogg's Corn Flakes 410g,S/ 16.80,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,410.0,g,Hojuelas de Maíz Kellogg's Corn Flakes,16.8
Cereal de Trigo Integral Fitness Original 570g,S/ 24.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,570.0,g,Cereal de Trigo Integral Fitness Original,24.9
Cereal Corn Flakes Sin Gluten 740g,S/ 20.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,740.0,g,Cereal Corn Flakes Sin Gluten,20.9
Cereal Chocapic 540g,S/ 22.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,540.0,g,Cereal Chocapic,22.9
Cereal de Trigo Integral Fitness Miel y Almendras 330g,S/ 18.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,330.0,g,Cereal de Trigo Integral Fitness Miel y Almendras,18.9
Cereales Angel Life Protein Contenido 560 g,S/ 22.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,560.0,g,Cereales Angel Life Protein Contenido,22.6
Cereal Copix con Marshmallows Bolsa 740 g,S/ 24.40,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,740.0,g,Cereal Copix con Marshmallows Bolsa,24.4
Hojuelas de Maíz Azucaradas Kellogg's Zucaritas 420g,S/ 16.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,420.0,g,Hojuelas de Maíz Azucaradas Kellogg's Zucaritas,16.9
Cereales Angel Life Fibra Contenido 560 g,S/ 22.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,560.0,g,Cereales Angel Life Fibra Contenido,22.6
Cereal de Trigo Integral Fitness Original 285g,S/ 14.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,285.0,g,Cereal de Trigo Integral Fitness Original,14.9
Cereal Capitán Crunch Original Caja 360 g,S/ 39.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,360.0,g,Cereal Capitán Crunch Original Caja,39.9
Cereal Bar 12un Display Costa Choco,S/ 6.20,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,12.0,un,Cereal Bar  Display Costa Choco,6.2
Cereal de Maíz Corn Flakes 405g,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,405.0,g,Cereal de Maíz Corn Flakes,13.9
Hojuelas de Avena Integral Sin Gluten Mi Tierra Bolsa 400 g,S/ 11.30,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,400.0,g,Hojuelas de Avena Integral Sin Gluten Mi Tierra Bolsa,11.3
Cereales Bañados con Chocolate Choco Yogurt 2 Cerritos Caja 350 gr,S/ 20.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,350.0,g,Cereales Bañados con Chocolate Choco Yogurt 2 Cerritos Caja r,20.5
"Cereal Orgánico de Quinua, Arroz y Cacao Kids Organics Caja 240 gr",S/ 20.10,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,240.0,g,"Cereal Orgánico de Quinua, Arroz y Cacao Kids Organics Caja r",20.1
Cereales Angel Life Cero 300g,S/ 12.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,300.0,g,Cereales Angel Life Cero,12.9
Cereal Expandido Protein Bites Cacao Orgánico Caja 240 g,S/ 20.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,240.0,g,Cereal Expandido Protein Bites Cacao Orgánico Caja,20.6
Cereal Bar 12un Display Costa Golden,S/ 6.20,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,12.0,un,Cereal Bar  Display Costa Golden,6.2
Cereal Chocapic Nestlé 350g,S/ 21.30,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,350.0,g,Cereal Chocapic Nestlé,21.3
Cereal Cuisine & Co Fruty Color Sin Gluten 350g,S/ 15.70,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,350.0,g,Cereal Cuisine & Co Fruty Color Sin Gluten,15.7
Cereal Angel Meli Bolsa 420 g,S/ 16.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,420.0,g,Cereal Angel Meli Bolsa,16.9
Cereal de Avena y Arroz Cuisine & Co 350g,S/ 15.70,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,350.0,g,Cereal de Avena y Arroz Cuisine & Co,15.7
Cereal Tito Almohada Angel Chocolate Bolsa 350 g,S/ 17.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,350.0,g,Cereal Tito Almohada Angel Chocolate Bolsa,17.5
Cereal Zuck Bolsa 1 Kg,S/ 24.40,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,1.0,kg,Cereal Zuck Bolsa,24.4
Hojuelas de Maíz Azucaradas Kellogg's Zucaritas 260g,S/ 16.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,260.0,g,Hojuelas de Maíz Azucaradas Kellogg's Zucaritas,16.9
Cereal Kit Kat 210g,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,210.0,g,Cereal Kit Kat,13.9
Cereal de Garbanzo Sabor Chocolate Brownie Dyfferent 210g,S/ 16.10,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,210.0,g,Cereal de Garbanzo Sabor Chocolate Brownie Dyfferent,16.1
Cereal Flakes Angel 1 kg,S/ 16.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,1.0,kg,Cereal Flakes Angel,16.6
Cereal Trix 330g,S/ 17.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,330.0,g,Cereal Trix,17.9
Cereal Angel Life Multrigrano Caja 300 g,S/ 12.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,300.0,g,Cereal Angel Life Multrigrano Caja,12.9
Barra de Cereales Mini Cereal Bar Golden 24un,S/ 10.20,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,24.0,un,Barra de Cereales Mini Cereal Bar Golden,10.2
Cereal Infantil en Polvo Cerelac 5 Cereales y Leche 400g,S/ 24.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,400.0,g,Cereal Infantil en Polvo Cerelac 5 Cereales y Leche,24.6
Cereal Angel Meli Bolsa 840 g,S/ 23.50,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,840.0,g,Cereal Angel Meli Bolsa,23.5
Cereal de Trigo Integral Fitness Frutas 330g,S/ 18.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,330.0,g,Cereal de Trigo Integral Fitness Frutas,18.9
"Cereal Orgánico de Quinua, Kiwicha y Arroz Kids Organics Caja 240 gr",S/ 20.10,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,240.0,g,"Cereal Orgánico de Quinua, Kiwicha y Arroz Kids Organics Caja r",20.1
Cereal Naturandes 7 Semillas Chocolate 200g,S/ 20.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,200.0,g,Cereal Naturandes 7 Semillas Chocolate,20.6
Cereal de Garbanzo Sabor Cinnamon Roll Dyfferent 210g,S/ 16.10,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,210.0,g,Cereal de Garbanzo Sabor Cinnamon Roll Dyfferent,16.1
Cereal de Avena y Arroz Cuisine & Co Sin Gluten 250g,S/ 13.20,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,250.0,g,Cereal de Avena y Arroz Cuisine & Co Sin Gluten,13.2
Hojuelas de Maíz Corn Flakes Kellogg's 200g,S/ 10.20,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,200.0,g,Hojuelas de Maíz Corn Flakes Kellogg's,10.2
Cereal Cuadritos de Avena Cuisine & Co Caja 370 gr,S/ 13.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,370.0,g,Cereal Cuadritos de Avena Cuisine & Co Caja r,13.9
Cereal Expandido Protein Bites Maca & Yacón Caja 240 g,S/ 20.60,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,240.0,g,Cereal Expandido Protein Bites Maca & Yacón Caja,20.6
Hojuelas de Kiwicha Molicusco 200g,S/ 10.20,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,200.0,g,Hojuelas de Kiwicha Molicusco,10.2
Cereal Infantil en Polvo Nestum Trigo Quinua y Otros Cereales 350g,S/ 19.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,350.0,g,Cereal Infantil en Polvo Nestum Trigo Quinua y Otros Cereales,19.9
Cereales Angel Life Protein Caja 300 g,S/ 12.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,300.0,g,Cereales Angel Life Protein Caja,12.9
Cereal Zuck Bolsa 500 g,S/ 16.90,wong,CEREALES PROCESADOS SIMPLES (HOJUELAS),2024-12-05 17:51:19.506134,500.0,g,Cereal Zuck Bolsa,16.9
