brand,description,price,website,search_term,scrape_timestamp
,Aceite Vegetal Del Cielo Botella x 900 mL,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
TOTTUS,Aceite Vegetal 5L,S/ 32.90,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
PRIMOR,Aceite vegetal Premium de 900 mL,S/ 10.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
PRIMOR,Aceite vegetal de 900 mL,S/ 9.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
DELEITE,Aceite Vegetal Premium 5L,S/ 35.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
CAMPOMAR,Filete De Atún En Aceite Vegetal Six Pack x 150g,S/ 35.90,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
FLORIDA,Trozos Atún en Aceite Vegetal y Sal 140g,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
PRIMOR,Trozo Atún Aceite Vegetal Lata x 140 g,S/ 6.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
,Aceite Vegetal Del Cielo Botella x 2Lt,S/ 13.30,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
PRIMOR,Filete de Atún en Aceite Vegetal en Lata de 140 g,S/ 6.70,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
FLORIDA,Graned de Atún en Aceite Vegetal 140g,S/ 4.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
SANTORINI,Anchoveta En Aceite Vegetal x 125 g,S/ 3.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
CAMPOMAR,Trozos de atún en aceite vegetal de 150 g,S/ 5.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
DELEITE,Aceite Vegetal Premium 900mL,S/ 6.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
CAMPOMAR,Filete De Atún En Aceite Vegetal x 150 g,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
DELEITE,Aceite Vegetal Premium 2L,S/ 14.83,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
CAMPOMAR,Lomo De Atún En Aceite Vegetal x 150 g,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
TOTTUS,Trozos de Atún en Aceite Vegetal 170 g,S/ 4.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
CAMPOMAR,Lomo De Atún En Aceite Vegetal Duopack x 15O g,S/ 12.40,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
HUERTO ALAMEIN,Aceite Vegetal Olivado 900 mL,S/ 12.30,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
FRESCOMAR,Trozos De Atún Aceite Vegetal 170Gr,S/ 5.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
,D Gussto Trozos Atún Aceite Vegetal 170 g,S/ 5.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
FRESCOMAR,Filete De Bonito Atún Aceite Vegetal 170Gr,S/ 4.90,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
COMPASS,Trozos De Atún Aceite Vegetal 140 g,S/ 5.10,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
D'GUSSTO,D Gussto Trozos Atún Aceite Vegetal 140 g,S/ 5.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
CAMPOMAR,Filete De Bonito Aceite Vegetal 150 g,S/ 5.10,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
FRESCOMAR,Filete De Atún Aceite Vegetal 170 g,S/ 5.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
COMPASS,Filete De Atún Aceite Vegetal x 140 g,S/ 5.50,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
COMPASS,Filete Atún Tripack Aceite Vegetal Lata x 140 g,S/ 15.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
COMPASS,Trozos De Atún Tripack Aceite Vegetal Lata x 140 g,S/ 14.80,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
ALPA,Aceite 100% Vegetal Premium 900mL,S/ 7.60,tottus,ACEITE VEGETAL ENVASADO,2024-12-06 13:16:33.422498
