brand,description,price,website,search_term,scrape_timestamp
AQUAFRESH,Pasta dental Big Teeth para niños desde 6 años en tubo de 75 mL,S/ 11.70,tottus,TUNA,2024-12-06 13:30:09.539685
PLAY DOH,Masas y Plastilinas Tubo de Fiesta,S/ 26.90,tottus,TUNA,2024-12-06 13:30:09.539685
AQUAFRESH,Pasta dental Little Teeth para niños de 2 a 5 años en tubo de 63 g,S/ 11.40,tottus,TUNA,2024-12-06 13:30:09.539685
POLLY POCKET,Set Tubo de Modas Giratorio,S/ 89.90,tottus,TUNA,2024-12-06 13:30:09.539685
GENERICO,Tubo 195 Bloques,S/ 14.90,tottus,TUNA,2024-12-06 13:30:09.539685
SHING HING,Tubo Surtido de Animales,S/ 12.90,tottus,TUNA,2024-12-06 13:30:09.539685
BEPANTHEN,CREMA X 100GR TUBO,S/ 76.70,tottus,TUNA,2024-12-06 13:30:09.539685
DENTITO,Gel Dental Chicle Globo Tubo 85g,S/ 4,tottus,TUNA,2024-12-06 13:30:09.539685
REDWOOD,Vestido Rib Corto Tubo Mujer,S/ 39.90,tottus,TUNA,2024-12-06 13:30:09.539685
FINI,Tubos Ácidos Regaliz Twister 80g,S/ 4.90,tottus,TUNA,2024-12-06 13:30:09.539685
TIYAPUY,Papa Nativa Mixta Tubo 100 g,S/ 8.93,tottus,TUNA,2024-12-06 13:30:09.539685
DENTITO,Gel Dental Chicha Morada Tubo 85g,S/ 4,tottus,TUNA,2024-12-06 13:30:09.539685
AMARAS,Acondicionador Amarás Amor de Verano Butrich Tubo 260 mL,S/ 7.63,tottus,TUNA,2024-12-06 13:30:09.539685
LADY SPEED STICK,Desodorante Mujer Hair Minimizer Tubo 60gr,S/ 10.70,tottus,TUNA,2024-12-06 13:30:09.539685
JOHN FRIEDA,Crema para Peinar Frizz Ease Secret Weapon Tubo 113 g,S/ 38.90,tottus,TUNA,2024-12-06 13:30:09.539685
CASA JOVEN,Molde con Tubo Bajo 27 x 7 cm x 0.4 mm Bakery Pro,S/ 14.90,tottus,TUNA,2024-12-06 13:30:09.539685
