brand,description,price,website,search_term,scrape_timestamp
GLORIA,YOG PARC DES 1.7KG FRESA C PLATANO,S/ 8.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
GLORIA,YOG PARC DESC 1KG FRESA C PLATANO,S/ 5.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
TOTTUS,Compota de Plátano,S/ 2.50,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
TOTTUS,Keke de Plátano Rectangular,S/ 6,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
TOTTUS,Keke de Plátano Redondo,S/ 14.50,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
GENERICO,Harina de plátano 250 g,S/ 12.30,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
DYFFERENT,Granola Coco Plátano 250 g,S/ 18.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
ARTICHAY,Plátano Frito Sabor Cabanossi 210 g,S/ 16.50,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
NATURAL HOME,Yogy Fresas y Plátano 4 unds 100 g,S/ 24.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
,Chocolate Plátano 80% Cacao Quma 70 g,S/ 19.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
ARTESCO,CRAYON RESALTADOR DE SEDA X 12,S/ 17.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
,Snacks para Perros Sabor Plátano y Pollo Pet Care 70 g,S/ 10.50,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
NIVEA,Desodorante Black & White Toque Seda Spray 150 mL,S/ 14.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
KONZIL,SHAMPOO SEDA LIQ COM VIT 12 650ML,S/ 24,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
,Shampoo Muss Baby Romero Seda 400 mL,S/ 18.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
,Shampoo Savital Anticaspa Te Verde Seda Sabila 510 mL,S/ 11.50,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
KONZIL,Shampoo Seda Liquida Con Vitamina 12 340 ml,S/ 14,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
NIVEA,Desodorante Black & White Toque Seda Roll-On 50 mL,S/ 14.90,tottus,PLÁTANO DE SEDA,2024-12-06 13:24:27.242503
