brand,description,price,website,search_term,scrape_timestamp
VILLA NATURA,Chifle Salado 150 g,S/ 6.90,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
CRICKET'S,Chifle Crickets Leche De Tigre 250 g,S/ 8.48,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
KARINTO,Chifles 150g,S/ 9,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
TOTTUS,Chifle Salado 150 g,S/ 5.50,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
VILLA NATURA,CHIFLE SALADO BL 500 GR,S/ 18.90,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
TOTTUS,Chifle Norteño Con Canchita Milys 500 g,S/ 16.90,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
VILLA NATURA,Chifle Salado 250g,S/ 9.90,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
GELCE,Chifles salados de 125 g,S/ 5.90,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
VILLA NATURA,Chifle Dulce150g,S/ 6.90,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
TOTTUS,Chifles Salados 100 g,S/ 3.79,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
CRICKET'S,Chifle Crickets Picante 150 g,S/ 5.93,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
GELCE,Chifles Sabor Norteño 160 g,S/ 6.90,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
CRICKET'S,Chifle Crickets Leche De Tigre 150 g,S/ 5.93,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
ARTICHAY,CHIFLES SALADOS CANCHA CARNE RES 250G,S/ 16.50,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
ARTICHAY,CHIFLES SALADOS CANCHA CARNE RES 500G,S/ 30.50,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
GENERICO,CHIFLE LECHE DE TIGRE CRICKETS X 500 G,S/ 16.43,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
FIBERLIGHT,Bocaditos Salvado con Orégano Fibralight 200 g,S/ 9.80,tottus,CHIFLE (BOCADITOS),2024-12-06 14:04:49.819494
