brand,description,price,website,search_term,scrape_timestamp
Ricocat,"Comida para Gatos SUPER CAT Adulto Carne, Pollo y Leche Bolsa 9 kg",S/ 73.50 43%,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Thor,"Comida para Perros THOR Adulto Carne, Hígado, Cereal Bolsa 25kg",S/ 110.90 5%,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Thor,"Comida para Perros THOR Adulto Clásico Carne, Pollo, Cerdo Bolsa 25kg",S/ 110.90 5%,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
ZEUS,Comida para Perro ZEUS Adulto Sabor a Carne Bolsa 25Kg,S/ 97.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Bandido,Comida para Perro Adulto BANDIDO Sabor Carne Bolsa 18KG,S/ 75.70,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Thor,Comida para Perros THOR Cachorros Carne Bolsa 25kg,S/ 120.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocan,Comida para Perros RICOCAN Cachorros Razas Pequeñas Carne y Leche Bolsa 15 Kg,S/ 112.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Mimaskot,Comida para Perros MIMASKOT Carnes Bolsa 22Kg,S/ 128.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Super Can,Comida para Perro SUPERCAN Adultos Carne y Cereal Razas Medianas y Grandes Bolsa 25kg,S/ 152.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocat,"Comida para Gatos RICOCAT Gatitos Carne, Pescado y Leche Bolsa 9 kg",S/ 87.00,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Super Can,Comida para Perros SUPERCAN Cachorros Carne y Leche Bolsa 25kg,S/ 152.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocan,Comida para Perros RICOCAN Cachorros Razas Medianas y Grandes Sabor Carne y Leche Bolsa 22Kg,S/ 162.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocan,"Comida para Perros RICOCAN Cachorros Carne y Leche, Bolsa 22kg",S/ 162.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocan,Comida para Perros RICOCAN Adultos Paté con Carne Lata 330g,S/ 6.00,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Mimaskot,Comida para Perros MIMASKOT Adultos Raza Medianas y Grandes Carne Cereales y Vegetales Bolsa 15Kg,S/ 91.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Thor,Comida para Perros THOR Cachorros Paté con Carne Lata 11 oz,S/ 5.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ajinomen,Sopa Instantánea AJINOMEN Sabor a Carne Bolsa 80g x 24u,S/ 45.60,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocat,Comida para Gatos RICOCAT Gatitos Trocitos de Carne 85g,S/ 3.00,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocan,Comida para Perros RICOCAN Cachorros Razas Medianas Carne y Leche Bolsa 15 Kg,S/ 112.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocat,"Comida para Gatos RICOCAT Gatitos Carne, Pescado y Leche Bolsa 1 kg",S/ 14.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Super Can,Comida para Perro SUPERCAN Adultos Carne y Cereal Razas Medianas y Grandes Bolsa 15kg,S/ 94.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Dog Chow,Comida para Perros DOG CHOW Cachorros Sabor Carne Doypack 100g x 2u,S/ 9.20,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Dog Chow,Comida para Perros DOG CHOW Cachorros Sabor Carne Doypack 100g x 3u,S/ 9.90 28%,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ajinomen,Sopa Instantánea AJINOMEN Sabor a Carne Vaso 51g,S/ 3.40,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocat,"Comida para Gatitos RICOCAT Carne, Pescado y Leche Bolsa 15kg",S/ 197.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocan,Comida para Perros RICOCAN Cachorros Razas Medianas Carne y Leche Bolsa 1Kg,S/ 12.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ajinomen,Sopa Instantánea AJINOMEN Sabor a Carne Bolsa 80g,S/ 1.60,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Thor,Comida para Perro THOR Cachorro Sabor Carne Bolsa 2 kg,S/ 15.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Thor,"Comida para Perro THOR Adulto Sabor Carne, Pollo y Cerdo Bolsa 2 kg",S/ 14.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Dog Chow,Comida para Perros DOG CHOW Cachorros con Carne Pouch 100 gr,S/ 3.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Dog Chow,Alimento Húmedo para Perros DOG CHOW Cena de Carne Pouch 100g,S/ 3.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Ricocan,Comida para Perros RICOCAN Adultos Trocitos Carne 100g,S/ 3.00,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
DOGUI,Alimento para Perros DOGUI Para Adulto Sabor Pollo y Carne 8kg,S/ 62.90,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
Dog Chow,Alimento para Perros DOG CHOW Carne Molida Lata 368g,S/ 9.50,vega,CARNE DE CARNERO,2024-12-03 12:04:38.387429
