brand,description,price,website,search_term,scrape_timestamp
Timonel,Mermelada TIMONEL Fresa Frasco 1Kg,S/ 11.50 6%,vega,MERMELADA,2024-12-03 13:44:27.321394
Timonel,Mermelada TIMONEL Fresa Pote 320g,S/ 5.50 5%,vega,MERMELADA,2024-12-03 13:44:27.321394
Gloria,Mermelada GLORIA Fresa Barril 950g,S/ 13.50 5%,vega,MERMELADA,2024-12-03 13:44:27.321394
Timonel,Mermelada TIMONEL Fresa Vaso 320gr,S/ 5.20 4%,vega,MERMELADA,2024-12-03 13:44:27.321394
Timonel,Mermelada TIMONEL Fresa Vaso 320gr Caja 12u,S/ 56.40,vega,MERMELADA,2024-12-03 13:44:27.321394
Fanny,Mermelada FANNY Sabor a Fresa Vaso 290gr,S/ 6.20,vega,MERMELADA,2024-12-03 13:44:27.321394
Gloria,Mermelada GLORIA Fresa Pote 310g,S/ 6.80,vega,MERMELADA,2024-12-03 13:44:27.321394
Gloria,Mermelada GLORIA Fresa Vaso 290g,S/ 6.50,vega,MERMELADA,2024-12-03 13:44:27.321394
Timonel,Mermelada TIMONEL Fresa Pote 320g Pack 3u,S/ 15.00,vega,MERMELADA,2024-12-03 13:44:27.321394
Gloria,Mermelada GLORIA Fresa Doypack 700g,S/ 11.70,vega,MERMELADA,2024-12-03 13:44:27.321394
