description,brand,price,website,search_term,scrape_timestamp
Pastel de Jamón OTTO KUNZ Paquete 150g,OTTO KUNZ,S/ 6.80,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Pastel de Choclo Chico LA FLORENCIA,LA FLORENCIA,S/ 12.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Gomas Dulces TROLLI SOUR GLOWWORMS sabores Surtidos Bolsa 100g,TROLLI,S/ 7.00,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Chifles Dulces BELL'S Bolsa 220g,BELL'S,S/ 7.40,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Gomas Dulces TROLLI CLASIC BEARS sabores Surtidos Clásicos Bolsa 100g,TROLLI,S/ 7.00,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Chifles Dulces ARTICHAY Sabor a Salsa Acevichada Bolsa 210g,ARTICHAY,S/ 16.50,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Gomas Dulces TROLLI NEON SQUIGGIES sabores Surtidos Bolsa 100g,TROLLI,S/ 7.00,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Velas Premium de Cumpleaños Rayadas Pastel MARSHALL & MASON x6un,MARSHALL & MASON,S/ 9.95,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Infusiones DULCES SUEÑOS Relajante nocturno Caja 20Un,DULCESUENOS,S/ 5.70,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Chifles Dulces VILLA NATURA Bolsa 150g,VILLA NATURA,S/ 5.00,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Cuaderno Espiral DGNOTTAS A6 Tapa Dura Pastel,DGNOTTAS,S/ 10.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Gomas Dulces AMBROSOLI FRUGELÉ Sabor Limón Naranja Piña Bolsa 430g,AMBROSOLI,S/ 14.50,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Gomas dulces TROLLI GUMMI PIZZA Sabores surtidos Caja 17Gr,TROLLI,S/ 1.80,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Gomas dulces ARCOR MOGUL Sabores frutados Bolsa 35Gr,ARCOR,S/ 1.80,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Resaltadores CLASS&WORK JP9913AG Pastel Caja 2un,CLASS & WORK,S/ 5.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Chifles Dulces ARTICHAY Sabor Cabonossi Bolsa 210g,ARTICHAY,S/ 16.50,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Marcador ARTESCO Dual Brush Pastel Blíster 6un,ARTESCO,S/ 11.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Bolsa DG Mediana Pastel OBCM-1012.0001,DG,S/ 4.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Bolsa de Regalo DG Extragrande Pastel,DG,S/ 9.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Bolsa de Regalo DG Grande Pastel,DG,S/ 6.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Set de Tápers VIVA HOME Tapa Pastel 3un,VIVA HOME,S/ 10.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Caballito de Mar Dulces Sueños,FISHER PRICE,S/ 129.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Gomas Dulces TROLLI Octopus Bolsa 100g,TROLLI,S/ 7.00,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Cuaderno Espiralado DGNOTTAS A4 Tapa Dura Pastel Work Hard,DGNOTTAS,S/ 33.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Cuaderno Pastel DGNOTTAS A5,DGNOTTAS,S/ 23.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Hojuelas de Plátano Frito BELL'S Dulces Bolsa 125g,BELL'S,S/ 4.60,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Pumones ARTESCO Glitter Pastel Caja 6un,ARTESCO,S/ 13.20,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Gomas Dulces 2 CERRITOS Sabor Fresa Naranja Limón y Piña Bolsa 125g,NURIA,S/ 10.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Set de Témperas LAYCONSA Puppy Pastel Paquete 6un,LAYCONSA,S/ 7.60,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Muñeca POLLY POCKET Compacto de Máquina de Dulces de Osito,POLLY POCKET,S/ 234.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Set de Juego POLLY POCKET Centro Comercial Dulces Sorpresas,POLLY POCKET,S/ 339.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Higiénico SUAVE Premium Paquete 12un,SUAVE,S/ 18.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Toalla BOREAL Megarollo Paquete 4un,BOREAL,S/ 9.50,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Toalla BOREAL Megarollo Paquete 2un,BOREAL,S/ 4.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Higiénico SUAVE Cuidado Completo Doble Hoja Paquete 24un,SUAVE,S/ 26.70,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Toalla SCOTT Multiusos 2 en 1 Paquete 2un,SUAVE,S/ 7.00,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Toalla NOVA Clásico Mega Rollo Paquete 2un,NOVA,S/ 7.20,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Toalla SCOTT Calorie Absorb 65 hojas Paquete 4un,SCOTT,S/ 12.40,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Higiénico ELITE Ultra Doble Hoja Paquete 12un,ELITE,S/ 29.30,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
Papel Higiénico SUAVE Esencias Elegance Paquete 32un,SUAVE,S/ 36.90,vivanda,PASTELES DULCES,2024-12-04 17:19:09.245730
