description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bife Ancho Americano Black & Red x Kg,S/ 230.50 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Ancho Americano Black & Red,230.5
Bife Angosto Americano Black & Red x kg,S/ 143.50 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Angosto Americano Black & Red,143.5
Bife Angosto Metro x kg,S/ 46.00 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Angosto Metro,46.0
Bife Ancho Metro x kg,S/ 48.70 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Ancho Metro,48.7
Bife Ancho Pasturas de Oxapampa x kg,S/ 61.90 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Ancho Pasturas de Oxapampa,61.9
Bife de Chorizo Nacional Metro x kg,S/ 59.90 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife de Chorizo Nacional Metro,59.9
Bife Angosto Pasturas de Oxapampa x kg,S/ 61.90 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Angosto Pasturas de Oxapampa,61.9
Bife de Vacío de Res Metro x kg,S/ 47.80 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife de Vacío de Res Metro,47.8
Bife Ancho Uruguayo Dos Caminos x kg,S/ 121.50 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Ancho Uruguayo Dos Caminos,121.5
Bife Angosto Argentino Tierra del Fuego x kg,S/ 106.90 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Angosto Argentino Tierra del Fuego,106.9
Bife Picaña Argentino Cuisine & Co x kg,S/ 99.00 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Picaña Argentino Cuisine & Co,99.0
Bife Angosto Don Goyo x kg,S/ 60.50 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Angosto Don Goyo,60.5
Bife Angosto Uruguayo Dos Caminos x kg,S/ 104.10 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Angosto Uruguayo Dos Caminos,104.1
Bife Ancho Argentino Cuisine & Co x kg,S/ 125.90 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Ancho Argentino Cuisine & Co,125.9
Bife Ancho Wong Premium x kg,S/ 85.50 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Ancho Wong Premium,85.5
Bife Angosto Wong x kg,S/ 72.00 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Angosto Wong,72.0
Bife Angosto Argentino Cuisine & Co x kg,S/ 109.20 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Bife Angosto Argentino Cuisine & Co,109.2
Baby Beef Nacional Metro x kg,S/ 55.20 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Baby Beef Nacional Metro,55.2
Entraña Nacional Metro x kg,S/ 57.90 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Entraña Nacional Metro,57.9
Ojo de Bife de Res Metro x kg,S/ 64.90 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Ojo de Bife de Res Metro,64.9
Entraña Don Goyo x kg,S/ 61.50 x kg,metro,BOFE DE RES,2024-12-06 18:00:39.882640,1.0,kg,Entraña Don Goyo,61.5
